gender,belongatcc,soc,firstgen,raceclass,factsocial,factoutdoor,factacademic,factcounter,yearcat,female,newracec
0,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.8333333,4,3.2,2.5,senior,male,asian
1,2,soc,first gen-- neither parent has four year degree,FGSoC,2.8333333,1.6666666,2.2,3.25,senior,female,asian
0,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.3333333,1,3.2,2.75,junior,male,multi
1,2,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.1666667,2.3333333,2,2.25,freshman,female,asian
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.6666667,2.6666667,3,2.5,senior,female,white
1,2,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,1.6666666,3.2,2.25,senior,female,white
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,3,2.3333333,3.2,3.75,sophomore,female,black
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.3333333,2.6666667,4,2.5,junior,female,white
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,3,3,3,3,senior,female,other
1,3,white,not first gen-- one or both parents with four year degree,NFGW,3.3333333,3.3333333,3.4000001,2.75,senior,female,white
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.6666667,2,3.2,2.5,senior,female,white
1,4,white,not first gen-- one or both parents with four year degree,NFGW,3.3333333,3.3333333,3.2,3,senior,female,white
1,2,white,not first gen-- one or both parents with four year degree,NFGW,1.1666666,1.6666666,2.8,2.25,senior,female,white
1,2,white,not first gen-- one or both parents with four year degree,NFGW,1.8333334,2,2.8,2.5,sophomore,female,white
1,3,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.3333333,2.3333333,3.8,3,senior,female,asian
1,3,white,not first gen-- one or both parents with four year degree,NFGW,2.8333333,2.3333333,3.2,2.5,sophomore,female,white
0,4,white,first gen-- neither parent has four year degree,FGW,4,4,4,3.5,senior,male,white
1,2,white,not first gen-- one or both parents with four year degree,NFGW,1.3333334,3,2.8,2.25,senior,female,white
1,2,soc,first gen-- neither parent has four year degree,FGSoC,1.6666666,1,2.5999999,2.75,sophomore,female,hispanic
1,4,soc,not first gen-- one or both parents with four year degree,NFGSoC,2.8333333,1.6666666,2.8,3.25,freshman,female,asian
