State,Year,Deaths,Population,OverRate,AdjOverRate
Alabama,1999,143,4430141,3.2,3.3
Alabama,2000,159,4447100,3.6,3.6
Alabama,2001,208,4467634,4.7,4.7
Alabama,2002,201,4480089,4.5,4.5
Alabama,2003,190,4503491,4.2,4.3
Alabama,2004,263,4530729,5.8,5.9
Alabama,2005,242,4569805,5.3,5.4
Alabama,2006,352,4628981,7.6,7.7
Alabama,2007,452,4672840,9.7,9.8
Alabama,2008,517,4718206,11,11
Alabama,2009,561,4757938,11.8,12.2
Alabama,2010,494,4779736,10.3,10.7
Alabama,2011,513,4802740,10.7,10.9
Alabama,2012,503,4822023,10.4,10.9
Alabama,2013,554,4833722,11.5,11.8
Alabama,2014,675,4849377,13.9,14.2
Alabama,2015,688,4858979,14.2,14.7
Alabama,2016,716,4863300,14.7,15.4
Alabama,2017,807,4874747,16.6,17.3
Alabama,2018,729,4887871,14.9,15.7
Alabama,2019,742,4903185,15.1,15.9
Alabama,2020,1012,4921532,20.6,21.9
Alaska,1999,33,624779,5.3,5.5
Alaska,2000,43,626932,6.9,6.3
Alaska,2001,58,633714,9.2,8.8
Alaska,2002,73,642337,11.4,10.6
Alaska,2003,78,648414,12,11.5
Alaska,2004,70,659286,10.6,10.6
Alaska,2005,69,666946,10.3,10.2
Alaska,2006,73,675302,10.8,10.9
Alaska,2007,69,680300,10.1,9.9
Alaska,2008,108,687455,15.7,15.5
Alaska,2009,109,698895,15.6,15.2
Alaska,2010,90,710231,12.7,12.4
Alaska,2011,106,722718,14.7,14.2
Alaska,2012,116,731449,15.9,15.5
Alaska,2013,95,735132,12.9,13.4
Alaska,2014,106,736732,14.4,14.3
Alaska,2015,125,738432,16.9,16.4
Alaska,2016,120,741894,16.2,15.7
Alaska,2017,142,739795,19.2,19.5
Alaska,2018,120,737438,16.3,16.1
Alaska,2019,138,731545,18.9,18.5
Alaska,2020,171,731158,23.4,23.4
Arizona,1999,407,5023823,8.1,8.4
Arizona,2000,438,5130632,8.5,8.9
Arizona,2001,469,5273477,8.9,9.3
Arizona,2002,516,5396255,9.6,10
Arizona,2003,552,5510364,10,10.5
