fips,cntyfips,poptot,whitenh,blacknh,aiannh,asiannh,nhpinh,othernh,twonh,latinx,pwhitenh,pblacknh,paiannh,pasiannh,pnhpinh,pothernh,ptwonh,platinx,mhi,povstat,povbelow,ppov
8001007801,1,3930,398,487,8,1024,0,30,28,1955,10.13,12.39,0.2,26.06,0,0.76,0.71,49.75,22184,3930,2196,55.88
8001007802,1,4388,342,952,31,155,0,29,86,2793,7.79,21.7,0.71,3.53,0,0.66,1.96,63.65,23531,4362,2213,50.73
8001007900,1,5961,1086,884,27,176,0,50,154,3584,18.22,14.83,0.45,2.95,0,0.84,2.58,60.12,35229,5950,1992,33.48
8001008000,1,6470,1579,1224,22,171,0,4,90,3380,24.4,18.92,0.34,2.64,0,0.06,1.39,52.24,48288,6432,1206,18.75
8001008100,1,1254,823,45,0,108,0,0,40,238,65.63,3.59,0,8.61,0,0,3.19,18.98,24706,1082,447,41.31
8001008200,1,5148,1848,908,12,135,22,43,263,1917,35.9,17.64,0.23,2.62,0.43,0.84,5.11,37.24,47029,5014,755,15.06
8001008308,1,5545,1361,1203,92,383,0,0,86,2420,24.54,21.7,1.66,6.91,0,0,1.55,43.64,30054,5545,2219,40.02
8001008309,1,3795,802,486,0,31,26,0,78,2372,21.13,12.81,0,0.82,0.69,0,2.06,62.5,45268,3795,865,22.79
8001008353,1,6167,2675,743,27,173,0,0,92,2457,43.38,12.05,0.44,2.81,0,0,1.49,39.84,56734,6154,493,8.01
8001008401,1,4240,3476,20,60,51,0,0,28,605,81.98,0.47,1.42,1.2,0,0,0.66,14.27,62572,4198,324,7.72
8001008402,1,4839,4252,0,40,21,0,84,83,359,87.87,0,0.83,0.43,0,1.74,1.72,7.42,73977,4829,319,6.61
8001008505,1,6989,4652,125,46,324,0,0,0,1842,66.56,1.79,0.66,4.64,0,0,0,26.36,58641,6989,1032,14.77
8001008506,1,6022,3574,110,8,65,0,0,16,2249,59.35,1.83,0.13,1.08,0,0,0.27,37.35,34395,5971,1403,23.5
8001008507,1,7215,4212,58,11,67,0,0,112,2755,58.38,0.8,0.15,0.93,0,0,1.55,38.18,64362,7215,950,13.17
8001008508,1,5725,3619,276,33,334,0,14,62,1387,63.21,4.82,0.58,5.83,0,0.24,1.08,24.23,68631,5648,437,7.74
8001008523,1,7017,5136,279,59,0,0,0,105,1438,73.19,3.98,0.84,0,0,0,1.5,20.49,86450,6950,393,5.65
8001008524,1,7815,5443,37,14,401,0,0,282,1638,69.65,0.47,0.18,5.13,0,0,3.61,20.96,86791,7777,186,2.39
8001008526,1,7199,5464,185,0,366,0,0,71,1113,75.9,2.57,0,5.08,0,0,0.99,15.46,92097,7199,262,3.64
8001008529,1,7433,5160,121,0,454,0,47,45,1606,69.42,1.63,0,6.11,0,0.63,0.61,21.61,63060,7420,583,7.86
8001008533,1,7790,5696,66,0,38,0,0,128,1862,73.12,0.85,0,0.49,0,0,1.64,23.9,65313,7624,526,6.9
8001008534,1,4733,2932,6,14,117,0,0,223,1441,61.95,0.13,0.3,2.47,0,0,4.71,30.45,83182,4733,49,1.04
8001008535,1,3553,2005,26,0,137,0,31,79,1275,56.43,0.73,0,3.86,0,0.87,2.22,35.89,62625,3537,100,2.83
8001008536,1,2648,1775,15,7,173,0,0,67,611,67.03,0.57,0.26,6.53,0,0,2.53,23.07,96324,2648,90,3.4
8001008537,1,6420,3848,45,44,119,0,0,180,2184,59.94,0.7,0.69,1.85,0,0,2.8,34.02,91266,6420,251,3.91
8001008538,1,6252,4482,346,20,209,0,0,153,1042,71.69,5.53,0.32,3.34,0,0,2.45,16.67,97069,6243,150,2.4
8001008539,1,9265,4704,674,0,153,210,0,439,3085,50.77,7.27,0,1.65,2.27,0,4.74,33.3,82325,9265,63,0.68
8001008540,1,6977,4867,218,19,301,0,0,98,1474,69.76,3.12,0.27,4.31,0,0,1.4,21.13,95508,6977,59,0.85
8001008541,1,4641,4107,47,0,146,0,29,105,207,88.49,1.01,0,3.15,0,0.62,2.26,4.46,117348,4632,201,4.34
8001008542,1,7358,5151,314,0,256,114,0,255,1268,70.01,4.27,0,3.48,1.55,0,3.47,17.23,83900,7358,328,4.46
8001008543,1,8262,5340,38,10,35,15,0,162,2662,64.63,0.46,0.12,0.42,0.18,0,1.96,32.22,76220,8050,445,5.53
8001008544,1,4515,3540,23,6,450,0,0,21,475,78.41,0.51,0.13,9.97,0,0,0.47,10.52,110625,4505,20,0.44
8001008545,1,7296,5314,152,48,459,0,0,289,1034,72.83,2.08,0.66,6.29,0,0,3.96,14.17,100080,7241,372,5.14
8001008546,1,2956,2079,0,0,134,0,0,45,698,70.33,0,0,4.53,0,0,1.52,23.61,66250,2925,336,11.49
8001008547,1,4021,2925,0,56,69,0,0,35,936,72.74,0,1.39,1.72,0,0,0.87,23.28,75652,3815,50,1.31
8001008548,1,1488,978,18,0,34,6,0,0,452,65.73,1.21,0,2.28,0.4,0,0,30.38,86250,1469,27,1.84
8001008549,1,4437,2798,0,90,83,0,0,121,1345,63.06,0,2.03,1.87,0,0,2.73,30.31,88698,4428,296,6.68
8001008550,1,7932,5741,82,8,696,0,0,241,1164,72.38,1.03,0.1,8.77,0,0,3.04,14.67,75946,7921,516,6.51
8001008551,1,1400,931,14,0,111,0,0,79,265,66.5,1,0,7.93,0,0,5.64,18.93,122375,1400,42,3
8001008603,1,2219,681,24,0,16,0,0,6,1492,30.69,1.08,0,0.72,0,0,0.27,67.24,38493,2219,473,21.32
8001008604,1,5160,1939,182,16,21,0,0,126,2876,37.58,3.53,0.31,0.41,0,0,2.44,55.74,47543,3750,490,13.07
8001008605,1,3638,2432,0,0,99,0,0,88,1019,66.85,0,0,2.72,0,0,2.42,28.01,56328,3611,243,6.73
8001008606,1,6745,1967,2,49,130,0,0,0,4597,29.16,0.03,0.73,1.93,0,0,0,68.15,44720,6745,1106,16.4
8001008705,1,5217,2070,67,45,9,0,0,12,3014,39.68,1.28,0.86,0.17,0,0,0.23,57.77,41552,5104,1146,22.45
8001008706,1,5245,1460,134,0,5,0,0,36,3610,27.84,2.55,0,0.1,0,0,0.69,68.83,47610,5159,1267,24.56
8001008709,1,8642,2342,470,10,23,0,0,37,5760,27.1,5.44,0.12,0.27,0,0,0.43,66.65,31884,8606,3600,41.83
8001008801,1,5650,1543,110,40,0,0,0,0,3957,27.31,1.95,0.71,0,0,0,0,70.04,38019,5622,1549,27.55
