community,geoid,population,longitude,latitude,pm25,neisafe,collgrad,coi_ed,coi_he,edi,hi,mhi,povrate,forborn,cancermort,hrtdismort,covid_deathrate,infmort,lifeExp,adultasthma
Rogers Park,1,52772,-87.670171,42.00963,8.9817777,73,46.77600466,2.948465658,3.271033295,0.77483055,61.63058518,47314.56043,21.80791281,26.71353879,186.2,268.6,245.2,2.7,75.60914296,9.6
Norwood Park,10,41109,-87.803451,41.985248,9.41049152,96.3,43.13038798,1.827549967,1.581635212,0.653203629,22.13973836,97139.416,6.599287254,16.84831995,169,213.7,237.3,5.7,80.67354408,7.1
Jefferson Park,11,26201,-87.771165,41.978836,9.355887311,97.4,40.45674256,1.999329561,1.886278346,0.741401947,38.30442405,82085.04098,8.08497531,25.87656763,169.1,195.5,127.3,5.1,80.76975216,
Forest Glen,12,19579,-87.758358,41.993938,9.281629413,95.4,59.12512203,1.195953694,1.00191748,0.512522367,16.69664745,134175.5562,4.051133689,18.59341299,142.8,151.6,77.4,2.9,83.1913665,25.9
North Park,13,17522,-87.723578,41.983651,9.244253306,96.1,46.34391853,1.916417407,2.197457216,0.769450878,50.36472084,63720.48119,14.74598786,39.46136212,133.3,145,348.9,6.4,81.60838803,18.5
Albany Park,14,48549,-87.721558,41.968078,9.287724631,87.1,40.69180252,2.673908634,2.811070347,0.753826843,59.7369009,73137.91215,13.22354077,37.26436807,152.3,167.6,273.1,7.1,80.31388755,4
Portage Park,15,63038,-87.763401,41.954043,9.418271823,90.9,34.29515149,3.270871832,2.428737157,0.759413189,48.10723749,77981.58937,7.637966757,32.63515282,161,193.5,137.8,2.8,80.61657437,9.7
Irving Park,16,51911,-87.723457,41.953589,9.336387928,83,43.65339525,2.835881511,2.918094615,0.72920818,32.29548269,77607.61402,8.668553836,26.40219379,155.5,171.9,158.8,5.3,79.27299468,10.7
Dunning,17,43120,-87.806015,41.946522,9.522952206,94,26.26083639,3.250623533,1.535667544,0.747823515,36.36112855,79245.44415,6.944517023,31.04306749,176.8,220.9,138.1,3.9,79.80971971,6.3
Montclare,18,14412,-87.798033,41.929306,9.553488404,79,16.25009691,3.998790933,2.436647335,0.798774828,59.70596593,59533.34254,12.18126736,34.58662308,191.3,277.4,273.4,6.9,77.09737294,9.6
Belmont Cragin,19,78151,-87.765502,41.927275,9.500822776,65,13.95246972,4.323260756,2.950668737,0.799761371,79.47284267,62180.14929,15.17622743,38.6315185,152.2,201.3,220.1,5.7,79.23614079,10.8
West Ridge,2,77139,-87.695017,42.001583,9.091319539,75.6,42.17731943,2.755094805,2.555094797,0.772778535,71.53376827,64211.45496,17.06603314,40.65711106,158.4,185.6,229.4,7.1,80.42957233,9.1
Hermosa,20,24127,-87.734741,41.924353,9.446263608,66.9,19.26026392,4.357946586,3.102636618,0.789314219,77.54939625,58905.27226,12.8151237,37.64171911,150.5,173,204.4,3.1,79.5034397,15.5
Avondale,21,36245,-87.711219,41.938673,9.349995308,80,40.12124074,2.977034308,3.185208764,0.761558255,50.03811097,77285.80758,14.02809777,27.51538642,130.2,159.6,83.9,5.4,82.16059448,12.8
Logan Square,22,71742,-87.699149,41.922768,9.3736614,84.9,58.804112,2.659942096,2.135983359,0.638528037,22.27813216,94059.31804,11.70514502,15.63141793,126.6,148.1,155.6,5.4,81.30354492,10.5
Humboldt Park,23,53832,-87.720917,41.90008,9.49179858,48.5,18.02281479,4.267191835,3.797820376,0.77217429,86.8238451,45911.09989,27.25387144,18.65081925,173,226.7,160.8,10,73.68327912,17.1
West Town,24,87942,-87.676358,41.901216,9.38838812,86,71.63100829,1.851275097,1.940134963,0.531354157,11.85767275,120346.1833,8.813681682,13.27591823,149.7,184,119.4,4.2,81.07015096,9
Austin,25,96753,-87.763117,41.894113,9.578360788,59.6,14.69110981,4.485049797,3.943707289,0.760665129,76.46892918,43043.19736,26.3993371,6.959554128,230.9,250.9,224.1,11,71.01246642,12.6
West Garfield Park,26,17423,-87.730233,41.878602,9.563365179,46,7.293897745,4.696773111,4.790710865,0.721693775,94.9924952,30319.23402,36.22841227,0.72807901,263.4,289,127.9,8.7,69.05180762,20.2
