country,year,cigs
Austria,1875,null
Austria,1880,null
Austria,1885,null
Austria,1890,null
Austria,1895,null
Austria,1900,null
Austria,1901,null
Austria,1902,null
Austria,1903,null
Austria,1904,null
Austria,1905,null
Austria,1906,null
Austria,1907,null
Austria,1908,null
Austria,1909,null
Austria,1910,null
Austria,1911,null
Austria,1912,null
Austria,1913,null
Austria,1914,null
Austria,1915,null
Austria,1916,null
Austria,1917,null
Austria,1918,null
Austria,1919,null
Austria,1920,null
Austria,1921,null
Austria,1922,null
Austria,1923,2.5
Austria,1924,2.9
Austria,1925,2.9
Austria,1926,3.1
Austria,1927,3.3
Austria,1928,3.4
Austria,1929,3.5
Austria,1930,3.5
Austria,1931,3.3
Austria,1932,3.4
Austria,1933,3
Austria,1934,2.9
Austria,1935,2.9
Austria,1936,2.9
Austria,1937,2.8
Austria,1938,3.2
Austria,1939,4
Austria,1940,5
Austria,1941,5.8
Austria,1942,5.3
Austria,1943,5.3
Austria,1944,4.2
Austria,1945,1.6
Austria,1946,1.1
Austria,1947,1.6
Austria,1948,2
Austria,1949,2.5
Austria,1950,3
Austria,1951,3.5
Austria,1952,3.7
Austria,1953,3.8
Austria,1954,3.3
Austria,1955,3.7
Austria,1956,4.1
Austria,1957,4.3
Austria,1958,4.6
Austria,1959,4.7
Austria,1960,4.8
Austria,1961,4.7
Austria,1962,4.9
Austria,1963,5.1
Austria,1964,5.2
Austria,1965,5.4
Austria,1966,5.8
Austria,1967,5.9
Austria,1968,6
Austria,1969,6.2
Austria,1970,6.5
Austria,1971,6.6
Austria,1972,6.5
Austria,1973,7
Austria,1974,6.9
Austria,1975,6.6
Austria,1976,6.8
Austria,1977,6.9
Austria,1978,7
Austria,1979,7.2
Austria,1980,7.1
Austria,1981,7.1
Austria,1982,7
Austria,1983,7.2
Austria,1984,7
Austria,1985,7
Austria,1986,7
Austria,1987,6.8
Austria,1988,6.4
Austria,1989,6.2
Austria,1990,6.3
Austria,1991,6.4
Austria,1992,6.1
Austria,1993,5.8
Austria,1994,5.9
Austria,1995,5.6
Austria,1996,5.4
Austria,1997,5.7
Austria,1998,6.4
Austria,1999,6.6
Austria,2000,6.5
Austria,2001,6.3
Austria,2002,4.8
Austria,2003,4.6
Austria,2004,4.6
Austria,2005,null
Austria,2006,null
Austria,2007,null
Austria,2008,null
Austria,2009,null
Austria,2010,null
Austria,2011,null
Austria,2012,null
Austria,2013,null
Austria,2014,null
Austria,2015,null
