neighbor,crude5u,mortrate,ypllrate,plbw,pteen,popdense,poptot,whitenh,blacknh,asiannh,othernh,latino,minority,hseunits,occunit,ownocc,rentocc,hlthinssta,nohlthins,kidinsstat,kidnoins,povstat,povbelow,kidpovstat,kidbelow,ppov,pkidpov,platino
Banning Lewis Ranch/Falcon,73.540227,531.6743300000001,4136.59567,8.277405,5.480984,122.8,5730,4400,359,46,280,762,1330,2312,2153,1838,315,5493,849,1615,224,5698,304,1583,73,5.33520533521,4.6114971573,13.2984293194
Black Forest,66.848112,501.444187,3323.948434,9.495767000000001,3.938167,819,27524,23203,264,525,1902,2495,4321,9488,9087,8299,788,26970,1402,7535,138,27498,1484,7509,460,5.39675612772,6.12598215475,9.064816160439999
Briargate,80.01707,475.844391,3167.145078,8.666114,4.838442,32980.3,46741,37365,1545,1920,3613,3927,9376,16967,1626,11656,4605,45805,3221,14199,459,46534,1682,13992,654,3.61456139597,4.67409948542,8.401617423679999
Broadmoor/Skyway,178.631238,523.453485,4292.285697,10.781841,3.783102,2932.1,17864,15942,426,392,578,766,1922,7740,7109,5897,1212,17558,1039,4179,82,17757,988,4141,128,5.56400292842,3.0910408114,4.28795342588
Cheyenne/Stratmoor Hills,230.039836,668.9429699999999,6639.681942,9.576250999999999,10.246588,15790.3,15490,9983,1110,326,2167,2868,5507,6942,6472,2881,3591,14374,2186,4305,273,15310,2235,4305,918,14.5983017636,21.3240418118,18.5151710781
Cimarron Hills,148.017947,712.253088,5968.015724,9.571716,8.163265000000001,10910.7,15436,10005,1183,492,2464,2394,5431,6110,5738,3762,1976,14901,2218,4603,206,15383,2087,4555,784,13.5669245271,17.2118551043,15.5091992744
Divine Redeemer,275.957227,792.9838099999999,8694.209242000001,9.198423,6.96452,7037.9,4477,3552,104,0,424,571,925,2499,2354,1341,1013,4370,454,638,26,4439,586,630,125,13.201171435,19.8412698413,12.7540763904
Downtown North/Shooks Run,238.521169,1013.929586,4537.007898,8.488613000000001,11.180124,11232.2,5144,4080,107,178,456,531,1064,2096,1851,490,1361,4992,768,371,14,3348,887,317,58,26.4934289128,18.2965299685,10.3227060653
Downtown South/Hillside,393.404202,1057.901862,13151.31318,11.711054,16.307917,10970.5,11735,6595,1443,157,723,3134,5140,6813,6140,2462,3678,11007,2779,2111,187,11155,2507,2096,618,22.4742268041,29.4847328244,26.7064337452
Eastborough,263.577721,739.369332,8649.05371,10.995106,16.411093,11898.6,9551,4020,1012,98,547,4092,5531,3786,3428,1329,2099,9363,2731,3045,397,9475,3347,2969,1474,35.3245382586,49.6463455709,42.8436812899
Eastern Plains,130.084121,641.549294,6787.367412,8.478909,9.416276,92,12666,9891,452,218,1259,1435,2775,4936,4422,3614,808,12382,2236,3699,367,12597,2081,3635,803,16.5198063031,22.090784044,11.3295436602
Fountain,106.362773,645.945664,4800.530272,9.161647,10.341365,3213.1,21139,14269,2087,502,2307,2981,6870,7757,7177,5218,1959,19952,2494,6527,310,21090,2069,6478,736,9.81033665244,11.3615313368,14.1018969677
Gateway Park,279.582893,611.748096,6954.683693,10.376399,13.699559,12392.2,10368,3677,1810,303,1106,4025,6691,4032,3619,1736,1883,10019,2809,3080,573,10358,2919,3070,1343,28.1811160456,43.7459283388,38.8213734568
Holland Park/Mesa Springs,184.749748,708.7076080000001,7824.701553,11.031002,11.46359,5634.8,7032,5364,310,89,403,1060,1668,3595,3333,1554,1779,6888,1650,1437,270,7014,1337,1419,431,19.0618762475,30.3735024665,15.0739476678
Ivywild/Lower Skyway,152.155537,694.345092,8138.413311,8.901251999999999,9.318498,6099.5,8721,6569,484,108,371,1316,2152,4711,4342,1664,2678,8277,1182,1760,119,8656,1370,1751,512,15.8271719039,29.2404340377,15.0900126132
Kissing Camels/Pleasant Valley,217.296827,538.493152,7529.200023,9.684685,4.72973,3554.6,4646,4284,12,29,213,208,362,2631,2294,1845,449,4644,463,866,83,4644,284,866,29,6.11541774332,3.34872979215,4.47696943607
Manitou Springs,111.48272,812.302343,8461.396693999999,9.430894,6.178862,992.4,6015,5495,27,31,229,282,520,3142,2829,1563,1266,5959,1459,868,265,5973,778,868,199,13.0252804286,22.9262672811,4.68827930175
