fips,ebllcases
42003010300,12
42003020100,22
42003020300,9
42003030500,20
42003040200,17
42003040300,0
42003040400,1
42003040500,5
42003040600,1
42003040900,14
42003050100,33
42003050600,19
42003050700,2
42003050900,16
42003051000,18
42003051100,11
42003060300,43
42003060500,8
42003070300,3
42003070500,6
42003070600,4
42003070800,6
42003070900,3
42003080200,10
42003080400,8
42003080600,9
42003080700,24
42003080900,20
42003090100,48
42003090200,31
42003090300,18
42003100500,1
42003101100,38
42003101400,11
42003101600,40
42003101700,100
42003101800,11
42003110200,52
42003110600,10
42003111300,63
42003111400,58
42003111500,52
42003120100,15
42003120200,29
42003120300,53
42003120400,44
42003120700,52
42003120800,45
42003130100,52
42003130200,58
42003130300,81
42003130400,93
42003130600,63
42003140100,4
42003140200,1
42003140300,3
42003140400,9
42003140500,51
42003140600,24
42003140800,5
42003141000,2
42003141100,0
42003141300,11
42003141400,2
42003150100,30
42003150400,16
42003151500,66
42003151600,19
42003151700,1
42003160300,12
42003160400,13
42003160600,31
42003160700,4
42003160800,13
42003160900,9
42003170200,12
42003170600,5
42003180300,58
42003180600,3
42003180700,25
42003180900,131
42003190300,9
42003191100,2
42003191400,14
42003191500,9
42003191600,15
42003191700,4
42003191800,6
42003191900,5
42003192000,16
42003192100,0
42003201600,0
42003201700,10
42003201800,43
42003201900,15
42003202000,37
42003202100,2
42003202200,26
42003202300,1
42003210700,97
42003210800,1
42003220100,3
42003220400,2
42003220500,5
42003220600,33
42003230400,48
42003240600,23
42003241200,35
42003250300,48
42003250700,56
42003250900,32
42003260200,31
42003260700,22
42003260900,45
42003261200,10
42003261400,123
42003261500,59
42003262000,25
42003270100,31
42003270300,21
42003270400,19
42003270800,14
42003271500,58
42003280500,0
42003280700,7
42003280800,35
42003281100,11
42003281200,6
42003281400,22
42003281500,2
42003290100,8
42003290200,16
42003290400,8
42003300100,124
42003310100,2
42003310200,5
42003310300,1
42003320400,2
42003320600,4
42003320700,4
42003401100,4
42003401200,18
42003401300,1
42003402000,10
42003403500,21
42003404000,0
42003405000,2
42003406000,0
42003407001,3
42003407002,1
42003408001,1
42003408002,1
42003409000,3
42003410000,0
42003411000,1
42003412001,1
42003412002,0
42003413100,0
42003413201,1
42003413202,1
42003413300,0
42003413400,2
42003413500,1
42003414101,0
42003414102,2
42003414200,5
42003415001,5
42003415002,1
42003416000,1
42003417100,1
42003417200,2
42003418000,0
42003419000,1
42003420000,3
42003421100,1
42003421200,4
42003421200,1
42003421200,0
42003422000,2
42003423000,4
42003424000,6
42003425000,22
42003426300,3
42003426400,2
42003426700,1
42003426800,2
42003427000,18
42003427100,3
42003427200,9
42003428100,2
42003428200,5
42003429100,4
42003429201,1
42003429202,3
42003429300,12
42003429400,2
42003429500,0
42003429600,7
42003429700,4
42003430100,9
42003430200,4
42003431100,14
42003431400,5
42003431500,17
42003432300,12
42003432400,17
42003433000,0
42003434000,6
42003435000,2
42003436000,3
42003437000,0
42003438000,0
42003439000,0
42003440000,2
42003441000,0
42003442000,0
