State	Year	Deaths	Population	suigunrate	adjsuigunrate
Alabama	1999	436	4430141	9.8	9.8
Alabama	2000	428	4447100	9.6	9.6
Alabama	2001	389	4467634	8.7	8.6
Alabama	2002	382	4480089	8.5	8.5
Alabama	2003	399	4503491	8.9	8.7
Alabama	2004	376	4530729	8.3	8
Alabama	2005	371	4569805	8.1	7.9
Alabama	2006	402	4628981	8.7	8.5
Alabama	2007	396	4672840	8.5	8.2
Alabama	2008	424	4718206	9	8.7
Alabama	2009	479	4757938	10.1	9.7
Alabama	2010	454	4779736	9.5	9.2
Alabama	2011	452	4802740	9.4	9
Alabama	2012	500	4822023	10.4	10
Alabama	2013	504	4833722	10.4	9.9
Alabama	2014	479	4849377	9.9	9.5
Alabama	2015	528	4858979	10.9	10.4
Alabama	2016	551	4863300	11.3	10.8
Alabama	2017	575	4874747	11.8	11
Alabama	2018	553	4887871	11.3	10.7
Alabama	2019	543	4903185	11.1	10.6
Alabama	2020	542	4921532	11	10.5
Alaska	1999	55	624779	8.8	10.4
Alaska	2000	96	626932	15.3	14.9
Alaska	2001	65	633714	10.3	10.3
Alaska	2002	92	642337	14.3	14.7
Alaska	2003	79	648414	12.2	13.3
Alaska	2004	94	659286	14.3	14.2
Alaska	2005	87	666946	13	13.4
Alaska	2006	79	675302	11.7	12.2
Alaska	2007	94	680300	13.8	14.5
Alaska	2008	116	687455	16.9	17.2
Alaska	2009	79	698895	11.3	11.2
Alaska	2010	107	710231	15.1	15.3
Alaska	2011	99	722718	13.7	14
Alaska	2012	98	731449	13.4	13.3
Alaska	2013	120	735132	16.3	16.7
Alaska	2014	115	736732	15.6	15.3
Alaska	2015	123	738432	16.7	16.5
Alaska	2016	113	741894	15.2	14.8
Alaska	2017	119	739795	16.1	16
Alaska	2018	107	737438	14.5	14.5
Alaska	2019	117	731545	16	15.7
Alaska	2020	133	731158	18.2	17.8
Arizona	1999	477	5023823	9.5	9.6
Arizona	2000	490	5130632	9.6	9.7
Arizona	2001	469	5273477	8.9	9
Arizona	2002	559	5396255	10.4	10.5
Arizona	2003	487	5510364	8.8	8.9
Arizona	2004	509	5652404	9	9.1
Arizona	2005	515	5839077	8.8	8.9
Arizona	2006	563	6029141	9.3	9.3
Arizona	2007	553	6167681	9	9
Arizona	2008	540	6280362	8.6	8.5
Arizona	2009	605	6343154	9.5	9.4
Arizona	2010	621	6392017	9.7	9.6
Arizona	2011	674	6482505	10.4	10.1
Arizona	2012	663	6553255	10.1	9.7
Arizona	2013	655	6626624	9.9	9.7
Arizona	2014	684	6731484	10.2	9.7
Arizona	2015	707	6828065	10.4	9.8
Arizona	2016	755	6931071	10.9	10.2
Arizona	2017	792	7016270	11.3	10.7
Arizona	2018	802	7171646	11.2	10.3
