OID_,OBJECTID_1,GEOID10,NAMELSAD10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,OBJECTID,CBSA10_1,METRO_NAME,HRS2010,RHRS10,Shape_Leng,EQINTERV10,fips,pmin,fips_1,lifeExp,OID_1,FIPS_12,POPTOT,WHITENH,BLACKNH,AIANNH,ASIANNH,NHPINH,OTHERNH,TWOMORENH,LATINX,PWHITENH,PBLACKNH,PAIANNH,PASIANNH,PNHPINH,POTHERNH,PTWOMORENH,PLATINX,MHI,POVSTAT,POVBELOW,PPOV,eqint,Grade,Shape_Length,Shape_Area
1,649,06037573003,Census Tract 5730.03,401153.000000000000000,46959.000000000000000,+33.7943972,-118.2020691,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.026946308212300,3,6037573003.000000000000000,75.200000000000003,,75.099999999999994,,,1919,476,188,27,332,0,0,42,854,24.7999992,9.8000002,1.4100000,17.2999992,0.0000000,0.0000000,2.1900001,44.5000000,63182,1914,336,17.5499992,3,C,0.026946308212255,0.000043624928235
2,650,06037571704,Census Tract 5717.04,481586.000000000000000,0.000000000000000,+33.8499458,-118.1870723,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.033073838089700,3,6037571704.000000000000000,91.930000000000007,,76.500000000000000,,,4324,349,829,0,271,0,0,53,2822,8.0699997,19.1700001,0.0000000,6.2700000,0.0000000,0.0000000,1.2300000,65.2600021,45517,4287,1119,26.1000004,3,C,0.033073838089654,0.000046914218170
3,652,06037544001,Census Tract 5440.01,2257876.000000000000000,18703.000000000000000,+33.8388248,-118.2165909,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.063077556375300,3,6037544001.000000000000000,91.859999999999999,,79.099999999999994,,,4838,394,307,0,561,182,8,51,3335,8.1400003,6.3499999,0.0000000,11.6000004,3.7600000,0.1700000,1.0500000,68.9300003,61546,4830,665,13.7700005,3,C,0.063077556375313,0.000221747127855
4,653,06037134522,Census Tract 1345.22,615306.000000000000000,0.000000000000000,+34.2046744,-118.6017183,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.031031970804900,3,6037134522.000000000000000,87.180000000000007,,75.900000000000006,,,4305,552,189,0,131,0,38,42,3353,12.8199997,4.3899999,0.0000000,3.0400000,0.0000000,0.8800000,0.9800000,77.8899994,37003,4305,1317,30.5900002,3,C,0.031031970804927,0.000060186992306
5,654,06037301206,Census Tract 3012.06,828425.000000000000000,0.000000000000000,+34.1631614,-118.2724011,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",2.447172000000000,2.400000000000000,0.042064064817600,2,6037301206.000000000000000,27.579999999999998,,83.200000000000003,,,5134,3718,43,0,836,0,0,90,447,72.4199982,0.8400000,0.0000000,16.2800007,0.0000000,0.0000000,1.7500000,8.7100000,57560,5127,1193,23.2700005,2,B,0.042064064817632,0.000080994218455
6,655,06037301205,Census Tract 3012.05,773299.000000000000000,0.000000000000000,+34.1684098,-118.2729275,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",2.007830000000000,2.000000000000000,0.039954015441900,2,6037301205.000000000000000,30.270000000000000,,84.500000000000000,,,2230,1555,25,0,324,0,0,60,266,69.7300034,1.1200000,0.0000000,14.5299997,0.0000000,0.0000000,2.6900001,11.9300003,110670,2230,151,6.7700000,2,B,0.039954015441907,0.000075609425853
7,657,06037124903,Census Tract 1249.03,311404.000000000000000,0.000000000000000,+34.1666099,-118.4008675,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",1.000000000000000,1.000000000000000,0.024417833003300,1,6037124903.000000000000000,40.340000000000003,,77.200000000000003,,,3587,2140,74,0,221,0,0,103,1049,59.6599998,2.0599999,0.0000000,6.1599998,0.0000000,0.0000000,2.8699999,29.2399998,56223,3399,515,15.1499996,1,A,0.024417833003305,0.000030446787785
8,658,06037124204,Census Tract 1242.04,324350.000000000000000,0.000000000000000,+34.1739725,-118.3746553,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.024727032247400,3,6037124204.000000000000000,72.439999999999998,,77.099999999999994,,,2152,593,63,55,106,0,55,23,1257,27.5599995,2.9300001,2.5599999,4.9299998,0.0000000,2.5599999,1.0700001,58.4099998,48041,2152,512,23.7900009,3,C,0.024727032247372,0.000031715433322
9,659,06037124203,Census Tract 1242.03,324262.000000000000000,0.000000000000000,+34.1776041,-118.3746650,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.000000000000000,3.000000000000000,0.024732030591200,3,6037124203.000000000000000,67.760000000000005,,76.200000000000003,,,2537,818,56,0,91,12,29,45,1486,32.2400017,2.2100000,0.0000000,3.5899999,0.4700000,1.1400000,1.7700000,58.5699997,48750,2537,463,18.2500000,3,C,0.024732030591195,0.000031707891600
10,660,06037297602,Census Tract 2976.02,622070.000000000000000,0.000000000000000,+33.7159024,-118.2903209,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",4.000000000000000,4.000000000000000,0.035505476440300,4,6037297602.000000000000000,56.380000000000003,,81.299999999999997,,,3739,1631,116,10,308,19,2,121,1532,43.6199989,3.0999999,0.2700000,8.2399998,0.5100000,0.0500000,3.2400000,40.9700012,65729,3739,662,17.7099991,4,D,0.035505476440299,0.000060506705734
11,661,06037297601,Census Tract 2976.01,751656.000000000000000,1792843.000000000000000,+33.7081194,-118.2857001,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",4.000000000000000,4.000000000000000,0.097459658920800,4,6037297601.000000000000000,47.640000000000001,,79.599999999999994,,,2735,1432,191,0,63,0,0,381,668,52.3600006,6.9800000,0.0000000,2.3000000,0.0000000,0.0000000,13.9300003,24.4200001,53934,2706,152,5.6199999,4,D,0.097459658920776,0.000247465914786
12,662,06037577504,Census Tract 5775.04,386817.000000000000000,3714747.000000000000000,+33.7508616,-118.1289701,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",2.000000000000000,2.000000000000000,0.093443522129200,2,6037577504.000000000000000,22.940000000000001,,81.500000000000000,,,1369,1055,50,0,65,21,6,39,133,77.0599976,3.6500001,0.0000000,4.7500000,1.5300000,0.4400000,2.8499999,9.7200003,94091,1369,123,8.9799995,2,B,0.093443522129155,0.000399062212295
13,663,06037576903,Census Tract 5769.03,324705.000000000000000,0.000000000000000,+33.7807787,-118.1567668,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",3.030363000000000,3.000000000000000,0.024688593301800,3,6037576903.000000000000000,82.439999999999998,,76.400000000000006,,,3349,588,481,0,299,0,0,37,1944,17.5599995,14.3599997,0.0000000,8.9300003,0.0000000,0.0000000,1.1000000,58.0499992,38590,3349,1023,30.5499992,3,C,0.024688593301770,0.000031606211003
14,664,06037302506,Census Tract 3025.06,905408.000000000000000,853.000000000000000,+34.1277465,-118.2463128,0.000000000000000,31100.000000000000000,"Los Angeles-Long Beach, CA",2.617071000000000,2.600000000000000,0.046031300828500,3,6037302506.000000000000000,44.700000000000003,,79.799999999999997,,,3295,1822,65,0,293,20,0,153,942,55.2999992,1.9700000,0.0000000,8.8900003,0.6100000,0.0000000,4.6399999,28.5900002,59647,3185,547,17.1700001,3,C,0.046031300828462,0.000088568949815
