fips,life
1001020100,73.1
1001020200,76.9
1001020400,75.4
1001020500,79.4
1001020600,73.1
1001020801,78.3
1001020802,76.9
1001020900,73.9
1001021000,74
1001021100,72.2
1003010100,75.2
1003010200,72.9
1003010300,75
1003010400,76
1003010500,78
1003010600,71.8
1003010701,79.6
1003010703,80.1
1003010704,81
1003010705,77.7
1003010800,80.5
1003010903,76.9
1003010904,75.8
1003010905,78.9
1003010906,74.8
1003011000,72.1
1003011101,80
1003011102,78.2
1003011201,78.6
1003011202,80.4
1003011300,82.1
1003011401,78.7
1003011403,78.3
1003011405,77.8
1003011406,78.7
1003011407,79.1
1003011501,78.5
1003011502,75.7
1003011601,74.6
1005950100,75.7
1005950200,72.2
1005950300,75.2
1005950400,76.9
1005950600,71.2
1005950700,73.1
1005950900,73.5
1007010001,70.9
1007010002,74.4
1007010003,75.1
1007010004,73.8
1009050101,77.5
1009050102,75.6
1009050200,76.9
1009050300,77.1
1009050400,73.2
1009050500,75.7
1009050601,77.8
1009050602,77.3
1009050700,73.6
1011952100,78.5
1011952200,76.3
1011952500,78
1013952700,73.8
1013952800,78.1
1013952900,73.2
1013953000,71.2
1013953100,71.4
1013953200,74.1
1013953300,72.7
1013953400,72.6
1015000200,75.6
1015000300,67.1
1015000400,69.9
1015000600,68.3
1015000700,70.1
1015000800,67.8
1015000900,79.7
1015001000,76.7
1015001100,75.1
1015001201,72.7
1015001202,77.2
1015001300,67.9
1015001400,72.3
1015001500,73
1015001600,71.9
1015001700,74.7
1015001800,74.4
1015002000,74.2
1015002101,72.9
1015002102,77.8
1015002103,75.2
1015002200,68.1
1015002400,74.2
1015002501,76.1
1015002502,75.5
1017953800,77.7
1017953900,77
1017954000,76.5
1017954200,71.2
1017954300,73.4
1017954400,70.8
1017954500,70
1017954600,72.9
1017954700,73
1019955701,74.6
1019955702,74
1019955800,74.8
1019955900,72.8
1019956000,73.6
1019956100,74.7
1021060101,71.5
1021060102,72.9
1021060200,74.4
1021060300,74.8
1021060401,75.7
1021060402,74.9
1021060500,72.8
1021060600,73.7
1021060700,74.6
1023956700,73.6
1023956800,75
1023956900,75
1023957000,75.2
1025957500,76.4
1025957601,70.9
1025957602,76.6
1025957700,76.4
1025957800,73.4
1025957902,76.1
1025958001,69.7
1025958002,75.6
1027958900,74.1
1027959000,75.9
1027959100,74.6
1027959200,73.8
1029959500,71.3
1029959600,71.7
1029959700,73.4
1029959800,76.8
1031010100,74.2
1031010200,76.6
1031010300,77.1
1031010400,73.6
1031010500,74.1
1031010600,77.1
1031010700,78.4
1031010800,78.5
1031010900,75.6
1031011000,75.2
1031011100,78.9
1031011201,81.1
1031011202,79.2
1031011300,71.9
1033020100,72.3
1033020200,74.5
1033020300,67.2
1033020400,74.6
1033020500,73.7
1033020600,73.2
1033020701,75.9
1033020703,73.9
1033020704,77.1
1033020801,75.7
1033020802,73.2
1033020901,72.5
1033020902,75.5
1033021000,71.5
1035960200,75.4
1035960300,73.2
1035960400,74.6
1035960500,74.2
1035960600,69.9
1037961000,73.9
1037961100,79.6
1037961200,80.2
1039961600,76.4
1039961700,76.6
1039961800,73.6
1039961900,75.6
1039962000,73.7
1039962300,76.1
1039962400,78.3
1039962500,72
1039962600,70.6
1039962700,72.3
1039962800,77.1
1039962900,78
1039963000,73.8
1041963400,73.3
1041963500,72.1
1041963600,74.3
1041963700,76.7
1041963800,73.8
1041963900,76.9
1043964100,72.2
1043964200,75.6
1043964300,77.6
1043964400,76.3
1043964500,73.4
1043964600,77.4
1043964700,74.2
1043964800,75.1
1043964900,77.9
1043965000,75.1
1043965100,76.1
1043965200,76.6
1043965300,77.1
1043965401,71.8
1043965402,75.7
1043965500,76.5
1043965600,72.2
1043965700,71.9
1045020100,75
1045020200,81.8
1045020300,74
1045020400,76.9
1045020500,76.4
1045020700,73.6
1045020801,75.7
1045020802,75.5
1045021101,78.7
1045021102,74.4
1045021200,76.1
1045021300,81.3
1045021400,74.5
1047956100,73.4
1047956201,76.6
1047956202,71.3
1047956300,73.6
1047956400,71
1047956500,68.1
1047956600,70.4
1047956701,78.1
1047956702,73
1047956800,73.6
1047956900,70.2
1047957000,72.6
1047957100,72.2
1047957200,72.2
1047957300,70.8
1049960100,76.2
1049960200,76.1
1049960300,73.2
1049960400,74.5
1049960500,75.8
1049960600,74.6
1049960700,76.4
1049960800,75.8
1049960900,74.1
1049961000,73.3
1049961100,71.9
1049961200,78.8
1049961300,72.9
1049961400,76.7
1051030100,77
1051030200,73
1051030500,72.1
1051030600,73.2
1051030701,77.8
1051030702,79.7
1051030800,74.6
1051030901,75.5
1051030902,74.9
1051031000,76.8
1051031100,76.5
1051031200,74
1051031300,76.3
1053969800,71.3
1053969900,71.8
1053970200,77.8
1053970300,73
1053970400,74.9
1053970500,74.8
1053970600,69.4
1053970700,75.2
1055000200,69.3
1055000300,73
1055000400,77.1
1055000500,66.8
1055000600,65.3
1055000800,70.5
1055000900,67.9
1055001000,72.7
1055001100,75.5
1055001200,73.8
1055001300,72.7
1055001600,75.1
1055001700,68.1
1055010100,72.1
1055010200,70.2
1055010300,72.9
1055010401,71
1055010402,78.4
1055010501,76.6
1055010502,74.3
1055010602,75.2
1055010700,74.7
1055010800,75.1
1055010900,71.2
1055011001,74.6
1055011002,76.1
1055011100,73.1
1055011200,67.3
1057020000,73.4
1057020100,72.6
1057020200,74.6
1057020300,71.9
1057020400,74.6
1059972900,72.5
1059973000,73.5
1059973100,77.4
1059973200,72.6
1059973300,69.1
1059973400,71
1059973500,74.8
1059973600,74.5
1059973700,74.9
1061050100,73.4
1061050200,76.3
1061050300,73.8
1061050400,74.4
1061050500,75.1
1061050600,75.9
1063060100,75.5
1063060200,75.4
1065040000,76.2
1065040100,74.6
1065040200,79.4
1065040300,72.1
1065040400,72.2
1065040500,78.4
1067030100,74.4
1067030200,73.6
1067030300,77.1
1067030400,75.9
1067030500,76.9
1067030600,77
1069040100,77.5
1069040201,78.8
1069040202,79.8
1069040301,78.6
1069040302,77.6
1069040400,77.6
1069040500,78.5
1069040600,71.9
1069040700,74.4
1069040800,77.1
1069040900,76.2
1069041000,76
1069041100,75.8
1069041200,69.6
1069041400,73.1
1069041500,73
1069041600,75.3
1069041700,73.6
1069041800,77.5
1069041900,76.6
1069042000,76.5
1069042100,76.3
1071950100,74.3
1071950200,70.8
1071950300,73.6
1071950400,73.6
1071950500,72.8
1071950600,74.3
1071950700,71.9
1071950800,73
1071950900,77.4
1071951000,73.7
1071951100,73.9
1073000300,68.5
1073000400,70.8
1073000500,66.8
1073000700,70.1
1073000800,66.7
1073001100,70.3
1073001200,74.5
1073001400,71
1073001500,67.6
1073001600,66.6
1073001902,68.8
1073002000,71.3
1073002100,72.7
1073002200,71.6
1073002303,71.3
1073002305,77.1
1073002306,80.2
1073002400,73.1
1073002700,69
1073002900,66.6
1073003001,73.1
1073003002,70.7
1073003100,70.4
1073003200,72.3
1073003300,73.5
1073003400,73.2
1073003500,71.5
1073003600,71.7
1073003700,73.4
1073003802,73.9
1073003803,70.6
1073003900,71.6
1073004000,68
1073004200,69.4
1073004500,72.8
1073004702,81.1
1073004800,80.1
1073004901,72.2
1073004902,70.4
1073005000,72.8
1073005101,72.1
1073005103,72.3
1073005104,73.3
1073005200,71.1
1073005302,74.4
1073005500,66.5
1073005600,75.7
1073005701,69.2
1073005702,67.6
1073005800,76.8
1073005903,72.6
1073005905,71.5
1073005907,75.7
1073005908,73.2
1073005909,75.7
1073005910,73.6
1073010001,71.2
1073010002,72.2
1073010100,72
1073010200,70.2
1073010301,68.4
1073010302,69.1
1073010401,68.3
1073010402,75.7
1073010602,72.7
1073010603,73.8
1073010701,78.8
1073010702,79.6
1073010703,81.2
1073010705,80.3
1073010706,79.1
1073010801,82.3
1073010802,83
1073010803,78.4
1073010804,80.3
1073010805,82.1
1073010900,69.3
1073011001,74.9
1073011002,71.2
1073011104,76.1
1073011107,78.8
1073011108,79.4
1073011110,77.6
1073011111,79.2
1073011205,73.3
1073011206,77.8
1073011207,75.9
1073011208,75.4
1073011209,71.7
1073011210,73.5
1073011301,74.1
1073011302,74.3
1073011400,73.2
1073011500,73.9
1073011600,72.5
1073011703,79.4
1073011704,76
1073011705,74.4
1073011706,72.4
1073011802,73.6
1073011803,72.6
1073011804,75
1073011901,69.4
1073011904,75.1
1073012001,74.2
1073012002,76.3
1073012103,67.1
1073012104,72.2
1073012200,74
1073012302,69.4
1073012304,75.8
1073012305,72.3
1073012401,73
1073012402,70.5
1073012403,73.9
1073012500,69.6
1073012602,72.1
1073012701,75.6
1073012703,80.1
1073012704,76.2
1073012802,78.5
1073012803,79.6
1073012905,78.7
1073012906,84.6
1073012907,80.3
1073012908,74.2
1073012910,77.2
1073012911,82.9
1073012912,77.8
1073012913,77.2
1073012915,84.4
1073013002,71.9
1073013100,70.8
1073013200,70.3
1073013300,73
1073013400,69.7
1073013601,70.6
1073013801,68.7
1073013901,69.2
1073013902,72.8
1073014001,77
1073014002,76.7
1073014102,71.4
1073014104,70.8
1073014105,75.9
1073014203,75.1
1073014204,79.6
1073014301,73.8
1073014302,76.4
1073014404,79
1073014405,80.4
1073014406,81.1
1073014408,79.5
1073014409,78.5
1073014410,82.9
1073014412,81.4
1073014413,82.2
1075030000,73.7
1075030100,74.4
1075030200,76.5
1077010100,72
1077010200,70
1077010300,65.7
1077010400,75.9
1077010600,72.8
1077010700,67.3
1077010800,72.7
1077010900,77.4
1077011000,72.9
1077011101,77.4
1077011102,77.9
1077011200,75.6
1077011300,75.7
1077011400,74.8
1077011501,79.7
1077011502,74.6
1077011602,77.3
1077011603,76.9
1077011604,77.9
1077011700,74.5
1077011801,75.8
1077011802,77.6
1079979200,72.5
1079979300,77.3
1079979400,73.1
1079979500,71.9
1079979600,72.2
1079979800,76.2
1079979900,73
1081040200,79.1
1081040300,83.1
1081040400,79.4
1081040500,81.9
1081040602,73.5
1081040901,83.7
1081040902,77.9
1081041000,79
1081041100,78.3
1081041200,79
1081041300,76.5
1081041400,70.3
1081041600,75.7
1081041700,76.6
1081041800,76.5
1081041900,77
1081042002,77.3
1081042003,74.7
1081042004,83.5
1081042005,76.1
1081042006,75.7
1081042101,73.3
1081042102,75.5
1083020101,77.5
1083020102,76.4
1083020201,73.3
1083020202,74.5
1083020300,78.8
1083020401,75.4
1083020402,71.6
1083020500,72.1
1083020600,74.7
1083020700,72.7
1083020801,78.3
1083020802,78.1
1083020900,80.3
1083021000,75.7
1083021100,75.9
1083021200,80.4
1085780800,74
1085781000,76.9
1085781100,72.6
1085781200,71.3
1087231400,72.2
1087231500,74.5
1087231601,76.5
1087231602,72.9
1087231603,74
1087231800,66.4
1087231900,71.1
1087232000,68.9
1087232100,73.4
1087232200,75
1087232300,78.9
1089000201,71.8
1089000202,72
1089000301,72.5
1089000302,76.6
1089000403,76.1
1089000501,73.5
1089000502,73.8
1089000503,75.8
1089000601,70.9
1089000602,73.5
1089000701,72.1
1089000702,74.8
1089000901,78.1
1089000902,78.3
1089001000,73.6
1089001200,71.8
1089001301,73.8
1089001302,72.3
1089001401,78.1
1089001402,77.4
1089001500,74.7
1089001700,80.2
1089001801,81.2
1089001901,81.7
1089001902,81.6
1089001903,81.5
1089002000,78.8
1089002100,67.7
1089002200,69.5
1089002300,72
1089002501,74
1089002502,67.3
1089002600,80.5
1089002721,83.3
1089002722,81.9
1089002801,77.4
1089002802,79.8
1089002911,80.5
1089002912,79.9
1089002921,79.2
1089002922,85.1
1089003000,64.2
1089003100,73.8
1089010100,77.1
1089010200,77.9
1089010301,75.3
1089010302,74.5
1089010402,75.5
1089010501,79.2
1089010502,75.6
1089010612,82.6
1089010621,79.8
1089010622,78.7
1089010623,80.8
1089010624,79.1
1089010701,76
1089010702,81.1
1089010800,78.6
1089010901,80
1089010902,73.7
1089011011,82.8
1089011012,83.1
1089011013,79.7
1089011021,76.9
1089011022,78.9
1089011200,83.9
1089011300,75.6
1089011400,73.3
1091972900,73
1091973000,75.3
1091973100,73.5
1091973200,74.4
1091973300,76
1091973400,79
1093964000,71.4
1093964100,73.1
1093964300,74.9
1093964400,74.6
1093964500,75.8
1093964600,75.6
1093964700,75.1
1095030100,72.7
1095030201,74.8
1095030202,79.5
1095030300,74.6
1095030401,77.1
1095030402,75.1
1095030500,74.9
1095030600,73.7
1095030701,73.8
1095030702,74.7
1095030801,74.3
1095030802,75.1
1095030902,77.9
1095030903,73.2
1095030904,76.4
1095031000,72.4
1095031100,72.4
1095031200,74.4
1097000200,78.4
1097000401,69.9
1097000500,74.5
1097000600,71.2
1097000701,69.7
1097000702,71.2
1097000800,72.6
1097000901,73
1097000902,77.1
1097000903,71.2
1097001001,72
1097001002,74.3
1097001100,71.5
1097001200,75.2
1097001302,68.6
1097001400,71.2
1097001501,72.7
1097001800,75.1
1097001901,73.2
1097001902,74.7
1097002000,78.1
1097002100,71.7
1097002200,71.1
1097002301,65.2
1097002302,69
1097002400,69.4
1097002501,77.6
1097002502,72.6
1097002600,68.1
1097002700,72.1
1097002800,75
1097002900,78.9
1097003000,73.5
1097003100,79.8
1097003202,72.8
1097003203,77
1097003205,80.4
1097003301,78.6
1097003302,82.6
1097003402,74.7
1097003405,76.7
1097003406,75.9
1097003407,76.4
1097003408,74.7
1097003501,77.8
1097003502,77.8
1097003606,78.1
1097003607,77.6
1097003608,76.8
1097003703,80.3
1097003704,81.4
1097003705,78.3
1097003706,76.6
1097003707,79.4
