fips,life
8001007801,74.4
8001007802,74.3
8001007900,69.8
8001008000,77.2
8001008100,80.9
8001008200,76.6
8001008308,72.3
8001008309,75
8001008353,79.4
8001008401,76.1
8001008402,77.3
8001008505,77.1
8001008506,72.7
8001008507,79.6
8001008508,76.4
8001008523,79.2
8001008524,78.6
8001008529,80
8001008533,76.4
8001008534,78.9
8001008535,78.4
8001008537,80.4
8001008538,81.3
8001008539,81
8001008540,82.4
8001008541,83.1
8001008542,76.8
8001008543,76.6
8001008544,81.3
8001008545,81.7
8001008546,81.3
8001008547,75
8001008550,83.2
8001008603,74.8
8001008604,77.7
8001008605,77.1
8001008606,79
8001008705,74.9
8001008706,72.9
8001008709,76.8
8001008801,74.8
8001008802,74.7
8001008901,75.8
8001009001,76.8
8001009002,77.8
8001009101,75.5
8001009103,77.5
8001009104,77.3
8001009202,76.5
8001009203,77.1
8001009204,77.9
8001009206,79.3
8001009207,79.4
8001009304,77.8
8001009306,81.3
8001009307,79.6
8001009308,79.5
8001009309,78.7
8001009310,79.5
8001009316,78.7
8001009318,77.1
8001009319,67.7
8001009320,72.4
8001009321,77.4
8001009322,80.8
8001009323,78.8
8001009325,84.1
8001009326,82.3
8001009327,79.8
8001009401,79.7
8001009406,80.4
8001009407,78.5
8001009408,86.3
8001009409,82.2
8001009410,80
8001009411,79.2
8001009501,78.7
8001009502,79.3
8001009553,74.3
8001009603,76.1
8001009604,76
8001009606,77.8
8001009607,77.3
8001009608,82.3
8001009751,72.3
8001009752,79.4
8001015000,74.2
8001060100,83.2
8001060200,79
8003960000,81
8003960100,81
8003960200,75.5
8003960300,75.1
8005004952,79.7
8005005551,71
8005005552,76.5
8005005553,79.3
8005005611,81.3
8005005612,80.8
8005005614,79.7
8005005619,81.1
8005005620,84.7
8005005621,82.2
8005005622,85
8005005623,80.9
8005005624,82.5
8005005625,79.7
8005005626,81.2
8005005627,82.2
8005005628,81.3
8005005629,84.6
8005005630,82.1
8005005631,80.6
8005005632,85.6
8005005633,87.8
8005005634,84.1
8005005635,83.3
8005005636,81.7
8005005700,75.2
8005005800,78.3
8005005951,77
8005005952,83.9
8005006000,76.1
8005006100,73.2
8005006200,75.6
8005006300,76.6
8005006400,79.6
8005006501,75.1
8005006502,77
8005006601,74.7
8005006603,80.8
8005006604,78.1
8005006704,81.9
8005006706,86.3
8005006707,81.1
8005006708,82.5
8005006709,85.4
8005006711,81.3
8005006712,81.1
8005006808,83.2
8005006815,80
8005006854,78.7
8005006855,81.9
8005006856,80.3
8005006857,84.2
8005006858,78.8
8005007101,82.6
8005007103,81.8
8005007104,81.4
8005007105,80.3
8005007201,76.5
8005007202,73.6
8005007301,75.7
8005007302,74.6
8005007400,75.9
8005007500,78.2
8005007600,77.8
8005007702,77.6
8005007703,78.2
8005007704,79.1
8005015100,79.2
8005080000,81.1
8005080100,76.3
8005080200,82.4
8005080300,78.7
8005080400,81
8005080500,81.9
8005080600,78.3
8005080700,78.7
8005080800,80
8005080900,80.3
8005081000,76.5
8005081100,80.4
8005081200,77.9
8005081300,77
8005081400,78.1
8005081600,77.7
8005081700,83.6
8005081800,75.9
8005081900,79.2
8005082000,76.2
8005082300,76.7
8005082400,77.9
8005082500,77
8005082600,75.4
8005082700,79.6
8005083000,81.3
8005083200,80.9
8005083300,82.5
8005083500,79.3
8005083600,79.7
8005083700,79.7
8005083800,77.2
8005083900,80.7
8005084000,78.2
8005084100,77.2
8005084200,77.8
8005084300,79.8
8005084400,79.2
8005084500,77.8
8005084600,79.4
8005084700,77.2
8005084800,78.8
8005084900,81.2
8005085200,85.3
8005085300,81.2
8005085400,80
8005085500,83.9
8005085600,81.3
8005085700,78.1
8005085800,78.6
8005086200,82.6
8005086300,82.7
8005086500,81.3
8005086700,79.6
8005086800,77.4
8005087100,75.6
8005087200,79.7
8005087300,81.4
8007940400,79.8
8007974200,79.3
8007974300,87.8
8007974400,81.3
8009964600,83.9
8009964700,76.1
8011966700,78
8013012102,80.3
8013012104,81.5
8013012105,83.1
8013012203,83
8013012501,84.3
8013012505,86.2
8013012507,81.2
8013012509,84.7
8013012510,83.4
8013012511,80.6
8013012603,86.3
8013012608,73.9
8013012701,80.9
8013012705,83.6
8013012707,79.9
8013012708,81.8
8013012709,83.8
8013012710,83.8
