OID_,ObjectID,STATE_FIPS,CNTY_FIPS,STCOFIPS,TRACT,FIPS,POP2000,POP2004,POP00_SQMI,POP04_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,OTHER,MULT_RACE,HISPANIC,MALES,FEMALES,AGE_UNDER5,AGE_5_17,AGE_18_21,AGE_22_29,AGE_30_39,AGE_40_49,AGE_50_64,AGE_65_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,SQMI,fips2,Shape_Length,Shape_Area,pklead,fips_1,poptot,whitenh,pwhitenh,blacknh,pblacknh,mhi,medyrblt,povstat,povbelow,ppov,fips_12,ebllcases
1,43365,42,003,42003,452000,42003452000,5145,5177,157.500000000000000,158.500000000000000,4948,84,7,57,0,4,45,29,2525,2620,366,954,200,371,924,937,840,553,37.399999999999999,36.700000000000003,38.000000000000000,2028,2.530000000000000,201,283,557,632,46,106,1461,3.030000000000000,2128,100,1567,461,32.670000000000002,42003452000.000000000000000,0.473601754176081,0.008985318670041,0.000000000000000,,5145,4926,95.743440230000004,84,1.632653061000000,47484,1972,5129,266,5.190000000000000,,0
2,43424,42,003,42003,192100,42003192100,56,55,133.300000000000011,131.000000000000000,38,13,0,0,0,2,3,0,29,27,2,4,6,14,8,11,9,2,31.000000000000000,29.800000000000001,35.500000000000000,30,1.870000000000000,8,7,0,1,0,2,6,3.330000000000000,40,10,7,23,0.420000000000000,42003192100.000000000000000,0.078101063981264,0.000115375661128,0.000000000000000,,56,38,67.857142859999996,13,23.214285709999999,12188,1965,73,44,60.270000000000003,,0
3,43425,42,003,42003,201900,42003201900,466,435,2330.000000000000000,2175.000000000000000,292,165,0,6,0,2,1,3,201,265,29,58,28,33,56,46,52,164,44.399999999999999,37.500000000000000,60.200000000000003,149,2.280000000000000,37,21,14,18,7,16,75,3.150000000000000,211,62,49,100,0.200000000000000,42003201900.000000000000000,0.058564819526325,0.000053716891337,17.241379310344829,,466,289,62.017167379999997,165,35.407725319999997,21382,1939,306,35,11.440000000000000,,15
4,43426,42,003,42003,191100,42003191100,2696,2595,4348.399999999999636,4185.500000000000000,2540,66,1,41,2,4,42,17,1307,1389,93,295,148,412,389,454,418,487,40.200000000000003,38.700000000000003,41.399999999999999,1276,2.110000000000000,217,272,149,337,9,47,645,2.840000000000000,1417,141,798,478,0.620000000000000,42003191100.000000000000000,0.065523179963822,0.000171322825935,0.515463917525773,,2696,2532,93.916913949999994,66,2.448071217000000,42708,1944,2716,445,16.379999999999999,,2
5,43427,42,003,42003,465600,42003465600,2826,2681,7246.199999999999818,6874.399999999999636,2642,109,6,28,4,4,33,9,1321,1505,150,410,154,349,431,442,388,502,38.399999999999999,35.299999999999997,40.899999999999999,1382,2.040000000000000,243,413,194,246,23,86,627,3.010000000000000,1540,158,560,822,0.390000000000000,42003465600.000000000000000,0.061009124075440,0.000107676007032,1.428571428571429,,2826,2636,93.276716210000004,109,3.857041755000000,28915,1950,2803,255,9.100000000000000,,8
6,43428,42,003,42003,465800,42003465800,3880,3716,5243.199999999999818,5021.600000000000364,3762,75,1,12,1,6,23,29,1858,2022,213,673,157,441,616,728,560,492,37.399999999999999,35.899999999999999,38.399999999999999,1697,2.280000000000000,252,331,323,413,37,103,985,3.020000000000000,1804,107,1014,683,0.740000000000000,42003465800.000000000000000,0.106496085553279,0.000204361133865,1.805869074492099,,3880,3740,96.391752580000002,74,1.907216495000000,41463,1939,3862,207,5.360000000000000,,16
7,43429,42,003,42003,466000,42003466000,468,424,1063.599999999999909,963.600000000000023,453,0,0,4,0,1,10,7,228,240,28,99,9,11,57,87,109,68,43.899999999999999,45.299999999999997,42.700000000000003,177,2.640000000000000,13,17,56,67,0,4,138,3.010000000000000,182,5,172,5,0.440000000000000,42003466000.000000000000000,0.050035972662481,0.000120678426015,0.000000000000000,,468,447,95.512820509999997,0,0.000000000000000,83264,1955,469,6,1.280000000000000,,0
8,43430,42,003,42003,190300,42003190300,2159,2020,6746.899999999999636,6312.500000000000000,2080,42,4,7,0,10,16,14,1044,1115,76,165,88,411,301,315,390,413,41.200000000000003,38.600000000000001,44.500000000000000,1133,1.900000000000000,222,280,105,240,7,35,486,2.660000000000000,1258,125,739,394,0.320000000000000,42003190300.000000000000000,0.064947599823755,0.000087841041342,3.734439834024896,,2159,2068,95.785085690000003,42,1.945345067000000,39595,1939,2133,152,7.130000000000000,,9
9,43431,42,003,42003,010300,42003010300,3922,4124,9338.100000000000364,9819.000000000000000,3075,522,12,147,4,109,53,125,1601,2321,42,80,2899,366,130,114,143,148,20.199999999999999,20.199999999999999,20.199999999999999,468,1.930000000000000,106,123,16,35,4,30,137,2.780000000000000,721,253,127,341,0.420000000000000,42003010300.000000000000000,0.057825855727096,0.000114391776430,9.836065573770492,,3922,3024,77.103518609999995,521,13.284038760000000,11515,1939,1083,635,58.630000000000003,,12
10,43432,42,003,42003,281100,42003281100,3093,2966,4616.399999999999636,4426.899999999999636,2823,135,3,68,0,15,49,23,1458,1635,192,368,110,376,481,449,508,609,40.399999999999999,37.700000000000003,42.500000000000000,1426,2.160000000000000,191,288,223,435,12,73,857,2.780000000000000,1499,73,1043,383,0.670000000000000,42003281100.000000000000000,0.070644570772640,0.000185153641543,1.964285714285714,,3093,2813,90.947300360000000,129,4.170708050000000,36820,1952,3051,220,7.210000000000000,,11
