LocationType,Location,TimeFrame,DataFormat,Data
State,Alabama,2021,Number,6053
State,Alabama,2021,Percent,0.104
State,Alabama,2019,Percent,0.105
State,Alabama,2019,Number,6136
State,Alabama,2017,Number,6038
State,Alabama,2016,Percent,0.103
State,Alabama,2017,Percent,0.103
State,Alabama,2016,Number,6096
State,Alabama,2014,Number,5989
State,Alabama,2012,Percent,0.1
State,Alabama,2011,Number,5896
State,Alabama,2014,Percent,0.101
State,Alabama,2012,Number,5853
State,Alabama,2020,Percent,0.108
State,Alabama,2011,Percent,0.099
State,Alabama,2020,Number,6219
State,Alabama,2015,Number,6218
State,Alabama,2010,Percent,0.103
State,Alabama,2015,Percent,0.104
State,Alabama,2010,Number,6165
State,Alabama,2009,Number,6454
State,Alabama,2018,Percent,0.107
State,Alabama,2009,Percent,0.103
State,Alabama,2013,Number,5805
State,Alabama,2018,Number,6184
State,Alabama,2013,Percent,0.1
State,Alabama,2008,Percent,0.106
State,Alabama,2007,Number,6735
State,Alabama,2008,Number,6820
State,Alabama,2007,Percent,0.104
State,Alabama,2006,Percent,0.105
State,Alabama,2006,Number,6624
State,Alabama,2004,Percent,0.104
State,Alabama,2005,Number,6429
State,Alabama,2005,Percent,0.107
State,Alabama,2004,Number,6201
State,Alabama,2003,Number,5923
State,Alabama,2003,Percent,0.1
State,Alabama,2002,Percent,0.099
State,Alabama,2001,Number,5812
State,Alabama,2002,Number,5825
State,Alabama,2001,Percent,0.096
State,Alabama,2000,Percent,0.097
State,Alabama,2000,Number,6166
State,Alabama,1999,Number,5787
State,Alabama,1998,Percent,0.093
State,Alabama,1999,Percent,0.093
State,Alabama,1998,Number,5747
State,Alabama,1997,Number,5627
State,Alabama,1997,Percent,0.092
State,Alabama,1996,Percent,0.093
State,Alabama,1995,Number,5439
State,Alabama,1996,Number,5614
State,Alabama,1994,Percent,0.09
State,Alabama,1995,Percent,0.09
State,Alabama,1994,Number,5504
State,Alabama,1993,Number,5347
State,Alabama,1992,Percent,0.085
State,Alabama,1993,Percent,0.087
State,Alabama,1991,Number,5469
State,Alabama,1992,Number,5264
State,Alabama,1991,Percent,0.087
State,Alabama,1990,Percent,0.084
State,Alabama,1990,Number,5334
State,Alaska,1990,Number,575
