fips,state,county,pfairpoor,plbw,psmokers,teenbirth,pkidpov
45001,South Carolina,Abbeville,23,9,23,23,21
22001,Louisiana,Acadia,26,9,25,39,33
51001,Virginia,Accomack,24,10,21,29,24
16001,Idaho,Ada,14,7,13,11,7
19001,Iowa,Adair,15,5,20,19,14
21001,Kentucky,Adair,27,9,29,21,33
29001,Missouri,Adair,21,8,22,9,19
40001,Oklahoma,Adair,32,7,30,56,31
08001,Colorado,Adams,18,9,15,22,12
16003,Idaho,Adams,17,10,18,,22
17001,Illinois,Adams,17,8,19,23,13
18001,Indiana,Adams,23,7,24,24,21
19003,Iowa,Adams,15,4,20,26,16
28001,Mississippi,Adams,31,13,23,44,40
31001,Nebraska,Adams,16,7,17,23,11
38001,North Dakota,Adams,14,,18,,11
39001,Ohio,Adams,26,9,30,38,29
42001,Pennsylvania,Adams,18,7,20,14,11
53001,Washington,Adams,30,7,17,40,17
55001,Wisconsin,Adams,18,8,20,21,18
50001,Vermont,Addison,12,6,15,7,8
45003,South Carolina,Aiken,20,9,18,26,18
27001,Minnesota,Aitkin,16,5,21,13,16
12001,Florida,Alachua,19,10,16,11,15
37001,North Carolina,Alamance,21,9,19,19,18
06001,California,Alameda,16,7,10,9,9
08003,Colorado,Alamosa,23,11,17,19,21
36001,New York,Albany,15,8,15,9,13
56001,Wyoming,Albany,16,9,15,8,10
51003,Virginia,Albemarle,14,6,14,5,7
26001,Michigan,Alcona,19,8,23,19,26
28003,Mississippi,Alcorn,24,11,22,40,22
02013,Alaska,Aleutians East,23,,20,,13
02016,Alaska,Aleutians West,19,7,17,,6
17003,Illinois,Alexander,24,9,24,50,37
37003,North Carolina,Alexander,21,8,22,23,17
51510,Virginia,Alexandria City,14,7,12,19,13
40003,Oklahoma,Alfalfa,20,6,19,29,18
26003,Michigan,Alger,19,9,22,15,16
19005,Iowa,Allamakee,17,5,18,22,17
26005,Michigan,Allegan,18,7,19,17,8
24001,Maryland,Allegany,19,9,20,23,19
36003,New York,Allegany,18,7,22,13,21
37005,North Carolina,Alleghany,25,8,24,40,31
51005,Virginia,Alleghany,22,8,23,25,18
42003,Pennsylvania,Allegheny,17,8,18,11,13
18003,Indiana,Allen,19,9,20,25,16
20001,Kansas,Allen,19,7,20,26,20
21003,Kentucky,Allen,25,10,27,29,23
22003,Louisiana,Allen,23,9,24,47,25
39003,Ohio,Allen,20,10,23,27,18
45005,South Carolina,Allendale,30,14,25,39,45
26007,Michigan,Alpena,19,7,22,23,20
06003,California,Alpine,20,,16,,25
06005,California,Amador,17,6,14,14,13
51007,Virginia,Amelia,20,7,21,14,12
51009,Virginia,Amherst,20,8,20,20,16
28005,Mississippi,Amite,27,11,23,29,26
02020,Alaska,Anchorage,15,6,15,20,9
20003,Kansas,Anderson,19,6,21,24,16
21005,Kentucky,Anderson,21,8,23,32,13
45007,South Carolina,Anderson,20,9,21,28,19
47001,Tennessee,Anderson,22,9,23,32,18
48001,Texas,Anderson,26,7,22,41,28
29003,Missouri,Andrew,18,7,21,15,11
48003,Texas,Andrews,26,7,17,50,12
23001,Maine,Androscoggin,18,8,20,19,16
48005,Texas,Angelina,27,9,20,37,25
24003,Maryland,Anne Arundel,14,8,15,12,6
27003,Minnesota,Anoka,13,6,17,9,7
37007,North Carolina,Anson,26,13,24,35,29
31003,Nebraska,Antelope,15,5,18,9,15
26009,Michigan,Antrim,17,6,21,18,20
04001,Arizona,Apache,31,8,24,30,44
19007,Iowa,Appanoose,17,8,21,25,20
13001,Georgia,Appling,28,10,25,49,30
51011,Virginia,Appomattox,20,9,20,27,18
48007,Texas,Aransas,26,9,21,34,31
08005,Colorado,Arapahoe,14,10,13,15,8
48009,Texas,Archer,19,7,19,18,11
08007,Colorado,Archuleta,14,8,14,18,16
26011,Michigan,Arenac,21,8,24,23,21
05001,Arkansas,Arkansas,26,10,24,51,22
51013,Virginia,Arlington,11,7,9,8,7
42005,Pennsylvania,Armstrong,19,7,24,19,16
48011,Texas,Armstrong,18,,18,,12
23003,Maine,Aroostook,21,7,22,18,19
31005,Nebraska,Arthur,16,,18,,17
22005,Louisiana,Ascension,19,9,19,19,13
37009,North Carolina,Ashe,20,9,22,28,22
39005,Ohio,Ashland,20,6,24,17,16
55003,Wisconsin,Ashland,18,6,21,17,17
05003,Arkansas,Ashley,27,11,24,38,24
39007,Ohio,Ashtabula,25,8,27,28,24
53003,Washington,Asotin,17,6,19,27,19
22007,Louisiana,Assumption,26,11,26,27,26
48013,Texas,Atascosa,27,8,16,42,22
20005,Kansas,Atchison,18,7,21,18,15
29005,Missouri,Atchison,18,3,22,,16
39009,Ohio,Athens,22,8,25,7,21
13003,Georgia,Atkinson,32,8,26,57,34
34001,New Jersey,Atlantic,19,8,18,15,19
40005,Oklahoma,Atoka,26,9,25,47,23
28007,Mississippi,Attala,28,14,23,34,28
29007,Missouri,Audrain,22,9,25,30,27
19009,Iowa,Audubon,15,5,20,17,15
39011,Ohio,Auglaize,17,7,22,20,7
51015,Virginia,Augusta,18,6,20,16,12
46003,South Dakota,Aurora,14,7,17,19,15
48015,Texas,Austin,22,8,16,25,18
01001,Alabama,Autauga,20,10,20,23,15
37011,North Carolina,Avery,21,10,23,20,24
22009,Louisiana,Avoyelles,28,12,27,51,31
08009,Colorado,Baca,19,8,20,23,24
13005,Georgia,Bacon,27,10,25,38,29
48017,Texas,Bailey,25,8,16,58,23
12003,Florida,Baker,23,10,24,42,17
13007,Georgia,Baker,25,11,23,19,40
41001,Oregon,Baker,19,8,18,22,19
01003,Alabama,Baldwin,17,8,20,24,12
13009,Georgia,Baldwin,24,11,23,14,31
21007,Kentucky,Ballard,23,8,25,36,22
24005,Maryland,Baltimore,16,9,16,13,11
24510,Maryland,Baltimore City,22,12,21,32,27
45009,South Carolina,Bamberg,25,12,23,17,34
48019,Texas,Bandera,21,8,17,18,21
13011,Georgia,Banks,24,8,24,24,17
31007,Nebraska,Banner,14,,15,,14
16005,Idaho,Bannock,18,8,18,20,14
26013,Michigan,Baraga,21,6,24,19,16
20007,Kansas,Barber,19,6,21,26,18
01005,Alabama,Barbour,31,12,28,35,38
54001,West Virginia,Barbour,26,8,25,26,27
38003,North Dakota,Barnes,15,6,18,11,11
25001,Massachusetts,Barnstable,13,7,15,6,10
45011,South Carolina,Barnwell,26,11,24,36,34
21009,Kentucky,Barren,26,8,28,39,25
55005,Wisconsin,Barron,16,6,18,17,14
13013,Georgia,Barrow,21,8,21,20,13
26015,Michigan,Barry,16,7,19,16,9
29009,Missouri,Barry,24,8,24,36,23
18005,Indiana,Bartholomew,18,8,19,26,11
20009,Kansas,Barton,20,7,19,32,15
29011,Missouri,Barton,23,8,24,34,23
13015,Georgia,Bartow,22,8,21,28,15
48021,Texas,Bastrop,23,8,17,31,16
29013,Missouri,Bates,22,7,24,27,19
21011,Kentucky,Bath,26,9,28,42,33
51017,Virginia,Bath,22,6,23,27,16
05005,Arkansas,Baxter,21,7,22,31,24
12005,Florida,Bay,20,8,22,32,20
26017,Michigan,Bay,19,7,21,19,16
55007,Wisconsin,Bayfield,15,5,18,13,18
48023,Texas,Baylor,20,10,19,41,22
46005,South Dakota,Beadle,18,7,19,53,14
16007,Idaho,Bear Lake,18,9,18,23,12
37013,North Carolina,Beaufort,22,11,21,26,29
45013,South Carolina,Beaufort,15,8,16,21,15
22011,Louisiana,Beauregard,22,9,23,38,19
40007,Oklahoma,Beaver,23,6,18,14,15
42007,Pennsylvania,Beaver,18,7,22,17,12
49001,Utah,Beaver,18,8,12,31,11
30001,Montana,Beaverhead,15,7,17,10,16
27005,Minnesota,Becker,16,6,20,18,16
40009,Oklahoma,Beckham,23,9,20,46,22
42009,Pennsylvania,Bedford,20,6,24,19,14
47003,Tennessee,Bedford,25,9,24,39,20
51019,Virginia,Bedford,16,7,18,14,9
48025,Texas,Bee,29,10,19,45,26
33001,New Hampshire,Belknap,14,7,17,10,10
21013,Kentucky,Bell,33,10,34,53,38
48027,Texas,Bell,22,9,17,34,21
39013,Ohio,Belmont,21,8,26,25,18
27007,Minnesota,Beltrami,18,6,22,30,18
13017,Georgia,Ben Hill,27,14,24,51,33
16009,Idaho,Benewah,20,7,21,33,18
46007,South Dakota,Bennett,27,6,30,55,36
50003,Vermont,Bennington,14,8,18,16,14
38005,North Dakota,Benson,26,8,29,84,35
08011,Colorado,Bent,26,11,21,24,27
05007,Arkansas,Benton,20,7,16,25,13
18007,Indiana,Benton,21,7,23,22,17
19011,Iowa,Benton,14,6,18,13,8
27009,Minnesota,Benton,15,7,19,11,8
28009,Mississippi,Benton,27,11,24,50,30
29015,Missouri,Benton,22,7,25,32,28
41003,Oregon,Benton,16,5,14,4,11
47005,Tennessee,Benton,27,8,28,41,25
53005,Washington,Benton,17,6,15,21,12
26019,Michigan,Benzie,16,7,19,19,13
34003,New Jersey,Bergen,14,8,13,4,7
45015,South Carolina,Berkeley,19,9,19,21,16
54003,West Virginia,Berkeley,22,8,22,25,14
42011,Pennsylvania,Berks,20,8,19,20,14
25003,Massachusetts,Berkshire,15,8,18,10,15
35001,New Mexico,Bernalillo,20,9,15,21,17
13019,Georgia,Berrien,26,12,26,42,27
26021,Michigan,Berrien,19,8,20,26,22
37015,North Carolina,Bertie,27,13,25,32,32
02050,Alaska,Bethel,34,7,35,58,37
48029,Texas,Bexar,24,9,14,28,21
01007,Alabama,Bibb,25,10,25,34,22
13021,Georgia,Bibb,24,14,23,36,37
22013,Louisiana,Bienville,29,14,27,46,38
30003,Montana,Big Horn,25,9,27,73,36
56003,Wyoming,Big Horn,18,7,18,13,15
27011,Minnesota,Big Stone,16,7,21,,14
38007,North Dakota,Billings,15,,17,,14
16011,Idaho,Bingham,19,8,16,24,12
19013,Iowa,Black Hawk,16,7,19,16,14
18009,Indiana,Blackford,22,9,25,32,19
37017,North Carolina,Bladen,26,11,24,31,36
16013,Idaho,Blaine,17,7,14,11,8
30005,Montana,Blaine,24,8,28,45,23
31009,Nebraska,Blaine,14,,17,,21
40011,Oklahoma,Blaine,24,7,22,38,20
42013,Pennsylvania,Blair,20,7,23,22,15
48031,Texas,Blanco,19,6,16,15,15
51021,Virginia,Bland,19,9,21,15,14
13023,Georgia,Bleckley,22,9,22,18,28
47007,Tennessee,Bledsoe,28,8,27,40,26
01009,Alabama,Blount,23,8,22,30,19
47009,Tennessee,Blount,20,8,23,24,13
27013,Minnesota,Blue Earth,14,7,18,7,11
16015,Idaho,Boise,16,7,16,13,17
28011,Mississippi,Bolivar,31,14,22,38,41
29017,Missouri,Bollinger,24,7,27,29,23
46009,South Dakota,Bon Homme,17,5,21,10,15
17005,Illinois,Bond,18,7,20,17,15
16017,Idaho,Bonner,17,6,19,20,17
16019,Idaho,Bonneville,16,8,16,23,13
05009,Arkansas,Boone,23,7,23,33,20
17007,Illinois,Boone,18,7,17,15,11
18011,Indiana,Boone,14,7,16,11,5
19015,Iowa,Boone,14,6,19,15,8
21015,Kentucky,Boone,17,7,18,17,8
29019,Missouri,Boone,17,8,18,10,13
31011,Nebraska,Boone,15,7,17,9,11
54005,West Virginia,Boone,29,12,28,50,23
48033,Texas,Borden,15,,13,,9
48035,Texas,Bosque,22,6,19,25,19
22015,Louisiana,Bossier,21,11,22,26,25
51023,Virginia,Botetourt,16,7,17,10,8
38009,North Dakota,Bottineau,15,5,18,13,11
08013,Colorado,Boulder,12,8,11,6,6
16021,Idaho,Boundary,19,5,20,19,20
20011,Kansas,Bourbon,20,7,20,36,21
21017,Kentucky,Bourbon,24,8,25,27,22
48037,Texas,Bowie,22,11,21,43,23
38011,North Dakota,Bowman,15,7,18,24,12
31013,Nebraska,Box Butte,17,7,18,27,12
49003,Utah,Box Elder,16,7,11,20,8
21019,Kentucky,Boyd,23,10,25,36,22
31015,Nebraska,Boyd,15,,17,,19
21021,Kentucky,Boyle,22,8,23,25,18
21023,Kentucky,Bracken,24,10,26,26,20
12007,Florida,Bradford,26,11,27,41,22
42015,Pennsylvania,Bradford,20,6,23,28,13
05011,Arkansas,Bradley,28,11,23,35,28
47011,Tennessee,Bradley,24,9,22,27,17
26023,Michigan,Branch,20,7,23,28,19
13025,Georgia,Brantley,26,10,27,44,27
54007,West Virginia,Braxton,28,9,27,25,23
48039,Texas,Brazoria,19,8,16,22,10
48041,Texas,Brazos,22,8,16,16,20
21025,Kentucky,Breathitt,31,11,31,53,37
21027,Kentucky,Breckinridge,25,8,27,32,23
19017,Iowa,Bremer,12,6,16,5,6
12009,Florida,Brevard,19,8,18,16,14
48043,Texas,Brewster,22,6,14,22,17
48045,Texas,Briscoe,25,,20,,23
25005,Massachusetts,Bristol,17,8,18,12,13
44001,Rhode Island,Bristol,14,6,15,3,8
02060,Alaska,Bristol Bay,19,,21,,12
51520,Virginia,Bristol City,22,8,22,30,31
30007,Montana,Broadwater,15,5,18,19,13
36005,New York,Bronx,30,10,17,22,31
54009,West Virginia,Brooke,22,9,24,20,17
46011,South Dakota,Brookings,12,5,14,6,8
13027,Georgia,Brooks,25,11,23,36,33
48047,Texas,Brooks,38,8,19,73,45
36007,New York,Broome,19,8,19,14,24
08014,Colorado,Broomfield,10,8,11,8,4
12011,Florida,Broward,22,10,15,13,14
17009,Illinois,Brown,21,7,21,21,11
18013,Indiana,Brown,18,7,20,15,15
20013,Kansas,Brown,19,6,20,34,16
27015,Minnesota,Brown,14,6,19,13,8
31017,Nebraska,Brown,16,,19,,15
39015,Ohio,Brown,21,8,24,30,18
46013,South Dakota,Brown,14,6,17,15,10
48049,Texas,Brown,22,8,18,31,22
55009,Wisconsin,Brown,15,7,15,16,9
46015,South Dakota,Brule,15,6,19,21,18
37019,North Carolina,Brunswick,17,9,19,26,20
51025,Virginia,Brunswick,26,12,23,30,25
13029,Georgia,Bryan,17,8,17,19,10
40013,Oklahoma,Bryan,23,8,22,40,19
19019,Iowa,Buchanan,14,5,18,10,13
29021,Missouri,Buchanan,22,9,24,35,17
51027,Virginia,Buchanan,28,9,28,36,30
51029,Virginia,Buckingham,24,9,23,18,22
42017,Pennsylvania,Bucks,14,8,17,6,6
19021,Iowa,Buena Vista,19,7,17,26,12
51530,Virginia,Buena Vista City,25,8,25,7,20
31019,Nebraska,Buffalo,15,8,17,14,9
46017,South Dakota,Buffalo,34,9,36,64,44
55011,Wisconsin,Buffalo,15,6,19,8,11
21029,Kentucky,Bullitt,20,8,24,20,11
13031,Georgia,Bulloch,23,10,21,14,23
01011,Alabama,Bullock,31,15,25,40,39
37021,North Carolina,Buncombe,17,9,17,17,17
17011,Illinois,Bureau,18,7,18,17,14
13033,Georgia,Burke,26,12,24,34,32
37023,North Carolina,Burke,22,9,23,29,30
38013,North Dakota,Burke,15,,18,27,10
38015,North Dakota,Burleigh,13,6,17,17,9
48051,Texas,Burleson,23,9,19,34,20
34005,New Jersey,Burlington,15,8,16,8,7
48053,Texas,Burnet,20,7,17,29,16
55013,Wisconsin,Burnett,16,5,19,20,13
31021,Nebraska,Burt,16,7,18,16,13
01013,Alabama,Butler,27,13,25,39,31
19023,Iowa,Butler,14,6,18,11,9
20015,Kansas,Butler,16,7,17,16,9
21031,Kentucky,Butler,25,7,27,44,22
29023,Missouri,Butler,25,11,27,44,27
31023,Nebraska,Butler,14,6,17,8,9
39017,Ohio,Butler,19,8,22,16,12
42019,Pennsylvania,Butler,15,6,17,8,8
06007,California,Butte,19,6,15,14,19
16023,Idaho,Butte,19,8,19,,18
46019,South Dakota,Butte,17,8,21,28,17
13035,Georgia,Butts,25,10,25,34,37
37025,North Carolina,Cabarrus,18,9,17,17,11
54011,West Virginia,Cabell,24,11,24,24,21
49005,Utah,Cache,16,6,10,9,9
22017,Louisiana,Caddo,24,14,23,37,26
40015,Oklahoma,Caddo,26,8,23,37,23
06009,California,Calaveras,17,6,15,13,16
22019,Louisiana,Calcasieu,22,10,22,39,23
21033,Kentucky,Caldwell,24,9,25,43,23
22021,Louisiana,Caldwell,27,10,27,52,29
29025,Missouri,Caldwell,22,9,24,27,16
37027,North Carolina,Caldwell,22,10,24,30,19
48055,Texas,Caldwell,29,9,18,36,19
50005,Vermont,Caledonia,16,7,19,12,11
01015,Alabama,Calhoun,24,9,23,30,17
05013,Arkansas,Calhoun,25,9,23,26,22
12013,Florida,Calhoun,25,9,25,37,29
13037,Georgia,Calhoun,33,11,28,37,36
17013,Illinois,Calhoun,17,7,21,,12
19025,Iowa,Calhoun,15,8,20,16,12
26025,Michigan,Calhoun,19,9,21,27,22
28013,Mississippi,Calhoun,27,12,23,37,26
45017,South Carolina,Calhoun,21,11,20,22,22
48057,Texas,Calhoun,27,7,18,48,21
54013,West Virginia,Calhoun,29,10,29,32,26
48059,Texas,Callahan,20,11,19,29,19
29027,Missouri,Callaway,19,8,22,21,14
21035,Kentucky,Calloway,22,7,23,16,18
55015,Wisconsin,Calumet,13,6,16,8,5
24009,Maryland,Calvert,14,7,16,9,5
16025,Idaho,Camas,19,,19,,10
42021,Pennsylvania,Cambria,19,9,22,18,16
13039,Georgia,Camden,20,8,19,25,13
29029,Missouri,Camden,19,7,23,25,21
34007,New Jersey,Camden,18,9,18,18,16
37029,North Carolina,Camden,19,7,21,9,9
22023,Louisiana,Cameron,22,9,23,24,18
42023,Pennsylvania,Cameron,21,8,25,29,22
48061,Texas,Cameron,35,8,16,44,35
48063,Texas,Camp,23,7,19,42,25
21037,Kentucky,Campbell,19,8,21,21,12
46021,South Dakota,Campbell,13,,17,,15
47013,Tennessee,Campbell,27,10,29,44,25
51031,Virginia,Campbell,20,8,20,19,13
56005,Wyoming,Campbell,16,10,20,31,8
40017,Oklahoma,Canadian,17,7,17,19,9
13043,Georgia,Candler,30,12,26,36,32
47015,Tennessee,Cannon,23,8,24,30,18
16027,Idaho,Canyon,21,7,18,24,13
