"FIPS","Name of Area","Qualifying Name","Nation","State","County","County Subdivision","Census Tract","Block Group","Place","Congressional District (116th)","State Legislative District (Upper Chamber)","State Legislative District (Lower Chamber)","Metropolitan Statistical Area/Micropolitan Statistical Area","Combined Statistical Area","2020 Total Population","2010 Total Population","Population Change","Percent Change Population"
Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_BG,Geo_PLACE,Geo_CD,Geo_SLDUC,Geo_SLDLC,Geo_MSAMSA,Geo_CSA,SE_T001_001,SE_T002_001,SE_T011_001,SE_T012_001
"01001","Autauga County","Autauga County, Alabama","00","01","001",,,,,,,,,,58805,54571,4234,7.7586996756519
"01003","Baldwin County","Baldwin County, Alabama","00","01","003",,,,,,,,,,231767,182265,49502,27.1593558829177
"01005","Barbour County","Barbour County, Alabama","00","01","005",,,,,,,,,,25223,27457,-2234,-8.13635866992024
"01007","Bibb County","Bibb County, Alabama","00","01","007",,,,,,,,,,22293,22915,-622,-2.71437922758019
"01009","Blount County","Blount County, Alabama","00","01","009",,,,,,,,,,59134,57322,1812,3.1610899829036
"01011","Bullock County","Bullock County, Alabama","00","01","011",,,,,,,,,,10357,10914,-557,-5.10353674179952
"01013","Butler County","Butler County, Alabama","00","01","013",,,,,,,,,,19051,20947,-1896,-9.05141547715663
"01015","Calhoun County","Calhoun County, Alabama","00","01","015",,,,,,,,,,116441,118572,-2131,-1.79722025436022
"01017","Chambers County","Chambers County, Alabama","00","01","017",,,,,,,,,,34772,34215,557,1.62794096156656
"01019","Cherokee County","Cherokee County, Alabama","00","01","019",,,,,,,,,,24971,25989,-1018,-3.91704182538766
"01021","Chilton County","Chilton County, Alabama","00","01","021",,,,,,,,,,45014,43643,1371,3.14139724583553
"01023","Choctaw County","Choctaw County, Alabama","00","01","023",,,,,,,,,,12665,13859,-1194,-8.61534021213652
"01025","Clarke County","Clarke County, Alabama","00","01","025",,,,,,,,,,23087,25833,-2746,-10.6298145782526
"01027","Clay County","Clay County, Alabama","00","01","027",,,,,,,,,,14236,13932,304,2.18202698822854
"01029","Cleburne County","Cleburne County, Alabama","00","01","029",,,,,,,,,,15056,14972,84,0.56104728827144
