holc_id,holc_grade,Can_P,Sum_poptot,Sum_whiten,Sum_blackn,Sum_asiann,Sum_latinx,Sum_pop25,Sum_lesshs,Sum_hsdeg,Sum_bachup,Sum_occ,Sum_ownocc,Sum_rentoc,Sum_povsta,Sum_povbel,city,grade,pcan,pwhitenh,pblacknh,pasiannh,platinx,plesshs,pbachup,pown,ppov,pmin
A1,A,56.692471,25359,17145,3469,2564,1022,15955,437,3214,12304,9084,5662,3422,21224,2430,Baltimore,A,56.692471,67.609131,13.679562,10.110808,4.0301275,2.7389534,77.11689,62.329369,11.449303,32.390869
A2,A,18.511015,15623,3199,11454,170,355,11318,1745,6306,3267,5949,3907,2042,15550,2942,Baltimore,A,18.511015,20.476221,73.314987,1.0881393,2.2722909,15.417918,28.865524,65.674904,18.919615,79.523781
A3,A,46.975727,13462,11552,336,874,403,8854,239,1692,6923,5071,3832,1239,13330,912,Baltimore,A,46.975727,85.811913,2.4959145,6.4923487,2.9936116,2.6993449,78.190651,75.566948,6.8417106,14.188087
A4,A,59.137596,7707,5986,673,188,608,5408,87,1683,3638,3216,2547,669,7707,675,Baltimore,A,59.137596,77.669647,8.7323217,2.4393408,7.8889322,1.6087278,67.270714,79.197762,8.7582722,22.330353
A5,A,55.776955,7960,1948,5563,48,99,5165,359,3110,1696,3186,1588,1598,7814,403,Baltimore,A,55.776955,24.472363,69.886932,.60301507,1.2437186,6.9506292,32.836399,49.843063,5.1574097,75.527634
A6,A,29.20936,24350,2154,20135,208,1049,15594,1726,9783,4085,8589,5141,3448,20666,2477,Baltimore,A,29.20936,8.8459959,82.689941,.85420942,4.3080082,11.068359,26.195972,59.855629,11.98587,91.154007
B1,B,72.335358,9997,6930,1296,737,472,4608,49,814,3745,2640,2174,466,6384,126,Baltimore,B,72.335358,69.320793,12.963889,7.3722115,4.7214165,1.0633681,81.271698,82.348488,1.9736842,30.679207
B10,B,33.220818,88773,31444,50256,1238,3368,62786,6281,39568,16937,33680,22559,11121,86564,7551,Baltimore,B,33.220818,35.420681,56.611809,1.3945682,3.7939463,10.003822,26.97576,66.9804,8.7230253,64.579315
B11,B,17.767096,21212,2303,17842,102,368,14063,2122,9741,2200,7366,4357,3009,21079,6111,Baltimore,B,17.767096,10.857062,84.11277,.48085991,1.7348671,15.089241,15.643888,59.15015,28.990938,89.142937
B12,B,25.052534,4365,3447,651,44,51,3018,390,2313,315,1888,970,918,4365,934,Baltimore,B,25.052534,78.96907,14.914089,1.0080184,1.1683849,12.922465,10.437376,51.377117,21.39748,21.03093
B14,B,45.810146,40877,23409,13082,2056,999,28869,1453,14587,12829,15620,10886,4734,39796,2661,Baltimore,B,45.810146,57.266922,32.003326,5.0297232,2.443917,5.0330806,44.438671,69.692703,6.6866016,42.733078
B15,B,48.169743,11544,4279,5712,246,1083,8614,743,4392,3479,4701,3497,1204,11307,995,Baltimore,B,48.169743,37.066875,49.480251,2.1309772,9.3814964,8.625493,40.387741,74.388428,8.7998581,62.933125
B16,B,16.413015,12719,6825,2059,2275,815,7232,350,1646,5236,4854,1894,2960,9812,1826,Baltimore,B,16.413015,53.659878,16.188379,17.886627,6.4077363,4.839602,72.400444,39.019367,18.609865,46.340122
B17,B,29.451918,21432,14383,3987,1191,1128,10336,498,2884,6954,7642,2843,4799,16694,3556,Baltimore,B,29.451918,67.109932,18.603024,5.5571108,5.2631578,4.8181114,67.279411,37.202305,21.301065,32.890068
B18,B,19.506813,13346,768,12124,56,178,9220,1325,6398,1497,4879,3131,1748,13156,1899,Baltimore,B,19.506813,5.7545333,90.843697,.41960138,1.333733,14.370933,16.236443,64.172989,14.434479,94.245468
B19,B,64.303085,4168,3834,110,102,66,3031,76,494,2461,1559,1402,157,4021,133,Baltimore,B,64.303085,91.986565,2.6391554,2.447217,1.5834932,2.5074234,81.194328,89.929443,3.3076348,8.0134354
B2,B,71.047989,4097,2867,889,74,196,3180,295,841,2044,1692,1248,444,3828,347,Baltimore,B,71.047989,69.978035,21.698805,1.8061997,4.7839885,9.2767296,64.276726,73.758865,9.064786,30.021965
B20,B,30.355381,5677,3665,979,793,64,3531,47,941,2543,2266,1298,968,5677,418,Baltimore,B,30.355381,64.558746,17.245024,13.968645,1.1273561,1.3310677,72.019257,57.281555,7.3630438,35.441254
B21,B,64.830536,9176,901,7518,88,451,7001,649,4286,2066,3327,2316,1011,9003,963,Baltimore,B,64.830536,9.8190937,81.931122,.95902354,4.9149957,9.2701044,29.510071,69.612267,10.696435,90.180908
B22,B,58.45895,9758,1098,7671,222,247,6659,737,4247,1675,4161,1857,2304,9716,1521,Baltimore,B,58.45895,11.252306,78.612419,2.2750564,2.5312564,11.067728,25.153927,44.628696,15.654591,88.747696
B23,B,41.966793,5895,5489,104,81,60,4260,268,2230,1762,2173,1797,376,5859,246,Baltimore,B,41.966793,93.112808,1.764207,1.3740458,1.0178117,6.29108,41.361504,82.696732,4.1986685,6.8871918
B3,B,37.983425,34531,15501,16665,486,1317,23090,2610,11612,8868,13518,6981,6537,34399,6433,Baltimore,B,37.983425,44.890099,48.260983,1.407431,3.8139644,11.303595,38.406235,51.642254,18.701124,55.109901
B4,B,39.501602,46655,2274,41670,289,1317,33331,3930,21634,7767,17502,11005,6497,46134,8189,Baltimore,B,39.501602,4.8740759,89.315186,.61944056,2.8228486,11.790825,23.302631,62.878529,17.750465,95.125923
B5,B,34.29813,11248,246,10438,12,179,8001,870,5564,1567,4149,2169,1980,11185,2623,Baltimore,B,34.29813,2.1870556,92.798721,.10668563,1.5913941,10.873641,19.585052,52.277657,23.45105,97.812943
B6,B,16.527481,7472,183,6839,37,230,4888,1010,3197,681,2548,971,1577,6809,1894,Baltimore,B,16.527481,2.4491434,91.528374,.49518201,3.0781584,20.662848,13.932078,38.108322,27.816126,97.550858
B7,B,27.331127,5065,3755,445,566,175,3923,438,1384,2101,2536,1345,1191,5050,432,Baltimore,B,27.331127,74.13623,8.7857847,11.174728,3.4550838,11.164925,53.555954,53.036278,8.5544558,25.86377
B8,B,40.470123,36366,10224,22584,931,1660,25449,3021,13339,9089,13655,7880,5775,34691,6173,Baltimore,B,40.470123,28.114172,62.101963,2.5600836,4.5647035,11.8708,35.714565,57.707798,17.794241,71.885826
B9,B,43.840446,10179,7696,1156,682,390,6477,147,1566,4764,3686,2687,999,10064,448,Baltimore,B,43.840446,75.606644,11.356715,6.700069,3.8314176,2.2695692,73.552574,72.897453,4.4515104,24.393356
C,C,28.27232,4590,2759,1260,151,306,3611,747,2438,426,1915,1110,805,4400,645,Baltimore,C,28.27232,60.108932,27.450981,3.2897604,6.6666665,20.68679,11.797286,57.963448,14.659091,39.891068
